Dataextension name: AeM_Boas_Vindas_Disparo

| Name                 | Type            | Not NULL | PK       | Default Value   |
| -------------------- | --------------- | -------- | -------- | --------------- |
| CPF_CNPJ             | Text(20)        | false    | false    |                 |
| Id_Contato           | Text(20)        | true     | true     |                 |
| Id_Cliente_Parceiro  | Text(20)        | false    | false    |                 |
| Id_Campanha          | Text(50)        | false    | false    |                 |
| NAO_DESEJA_RECEBER_EMAIL | Boolean         | false    | false    |                 |
| NAO_DESEJA_RECEBER_SMS | Boolean         | false    | false    |                 |
| EMAIL                | EmailAddress    | false    | false    |                 |
| EMAIL_VALIDO         | Boolean         | false    | false    |                 |
| CELULAR              | Phone           | false    | false    |                 |
| CELULAR_VALIDO       | Boolean         | false    | false    |                 |
| TITULOS_ANTERIORES_ATIVOS | Number          | false    | false    | 0               |
| TITULOS_ANTERIORES_INATIVOS | Number          | false    | false    | 0               |
| Nome                 | Text(200)       | false    | false    |                 |
| CreatedDate          | Date            | false    | false    |                 |
| Flag_WhatsApp        | Boolean         | false    | false    | false           |
| locale               | Text(50)        | false    | false    | BR              |
