_CustomObjectKey,Plano,Sorteio,Dia da semana,Semanalmente,Dispara dias antes,Ocorre_Apenas_Na_Primeira_Semana,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Premio_Email,Descricao
203,35,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor do seu Título PU,"Sorteio mensal, realizado na primeira quarta-feira de cada mês civil"
204,35,Sorteio 2,Saturday,False,5,True,False,False,False,False,True,False,False,False,False,False,True,False,100 vezes o valor do seu Título PU,Sorteio semestral realizado no primeiro sábado dos meses de Maio e Novembro
205,35,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,1.250 vezes o valor do seu Título PU,"Sorteio anual, realizado na primeira quarta-feira do mês de dezembro"
206,A36PU,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor do seu Título PU,"Sorteio mensal, realizado na primeira quarta-feira de cada mês civil"
207,A36PU,Sorteio 2,Saturday,False,5,True,False,False,False,False,True,False,False,False,False,False,True,False,100 vezes o valor do seu Título PU,Sorteio semestral realizado no primeiro sábado dos meses de Maio e Novembro
208,A36PU,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,1.250 vezes o valor do seu Título PU,"Sorteio anual, realizado na primeira quarta-feira do mês de dezembro"
209,B36PU,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor do seu Título PU,"Sorteio mensal, realizado na primeira quarta-feira de cada mês civil"
210,B36PU,Sorteio 2,Saturday,False,5,True,False,False,False,False,True,False,False,False,False,False,True,False,100 vezes o valor do seu Título PU,Sorteio semestral realizado no primeiro sábado dos meses de Maio e Novembro
211,B36PU,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,1.250 vezes o valor do seu Título PU,"Sorteio anual, realizado na primeira quarta-feira do mês de dezembro"
212,C36PU,Sorteio 1,Wednesday,False,7,True,True,True,True,True,True,True,True,True,True,True,True,True,10 vezes o valor do seu Título PU,"Sorteio mensal, realizado na primeira quarta-feira de cada mês civil"
213,C36PU,Sorteio 2,Saturday,False,5,True,False,False,False,False,True,False,False,False,False,False,True,False,100 vezes o valor do seu Título PU,Sorteio semestral realizado no primeiro sábado dos meses de Maio e Novembro
214,C36PU,Sorteio 3,Wednesday,False,5,True,False,False,False,False,False,False,False,False,False,False,False,True,1.250 vezes o valor do seu Título PU,"Sorteio anual, realizado na primeira quarta-feira do mês de dezembro"
