_CustomObjectKey,MCI
13871493,800788803
13871494,928805388
13871495,700736819
13871496,200425681
13871497,100418194
13871498,100080942
13871499,102812284
13871500,201159899
13871501,600641266
13871502,101151296
13871503,200016875
13871504,911284735
13871505,200003807
13871506,200076368
13871507,402465436
13871508,903353277
13871509,602870833
13871510,503232830
13871511,908707291
13871512,501168166
13871513,824681100
13871514,306096568
13871515,300595576
13871516,911079537
13871517,905215912
13871518,400904236
13871519,100175451
13871520,600453135
13871521,419668719
13871522,903216717
13871523,933996227
13871524,104901745
13871525,931182383
13871526,900627371
13871527,300964966
13871528,302182466
13871529,204581344
13871530,800003651
13871531,915944530
13871532,307223245
13871533,828959136
13871534,100356415
13871535,300809107
13871536,912981626
13871537,100486427
13871538,400448315
13871539,500945064
13871540,800515242
13871541,900289196
13871542,101363004
13871543,903195999
13871544,500273475
13871545,400635011
13871546,100288195
13871547,100357854
13871548,700669217
13871549,600770434
13871550,918482416
13871551,400332866
13871552,101267843
13871553,204168049
13871554,100768634
13871555,916452376
13871556,903772351
13871557,300063991
13871558,905694148
13871559,200717261
13871560,426082955
13871561,900089942
13871562,903274747
13871563,303535541
13871564,503013039
13871565,904073044
13871566,300759986
13871567,300721401
13871568,400466026
13871569,602212545
13871570,600090120
13871571,503154390
13871572,909440506
13871573,2427836
13871574,253060
13871575,900347550
13871576,901078607
13871577,933278309
13871578,802059189
13871579,400912599
13871580,104614762
13871581,31060591
13871582,200868463
13871583,104806508
13871584,101333953
13871585,400366460
13871586,100903105
13871587,904595792
13871588,200277505
13871589,901367142
13871590,600556291
13871591,100331941
13871592,300764525
13871593,920999831
13871594,500283894
13871595,104964897
13871596,921351672
13871597,900275541
13871598,200010208
13871599,906772679
13871600,911537730
13871601,912127204
13871602,300931688
13871603,501435755
13871604,200628250
13871605,700563921
13871606,824114874
13871607,100791202
13871608,300122300
13871609,414837618
13871610,515738
13871611,1483092
13871612,921568592
13871613,306121705
13871614,200441340
13871615,400691706
13871616,101197029
13871617,200758005
13871618,200706929
13871619,200766607
13871620,605204167
13871621,103435009
13871622,400663334
13871623,106457721
13871624,919319880
13871625,908868779
13871626,509130374
13871627,916830421
13871628,100200187
13871629,203184786
13871630,400368277
13871631,100875103
13871632,400487646
13871633,100992812
13871634,201093698
13871635,410558863
13871636,411179960
13871637,928293335
13871638,700709412
13871639,415809589
13871640,374962
13871641,903799491
13871642,912839017
13871643,906660930
13871644,400177010
13871645,926747025
13871646,302186511
13871647,902091577
13871648,105923840
13871649,501013454
13871650,421088976
13871651,101342670
13871652,200926616
13871653,500753153
13871654,600521379
13871655,802336830
13871656,600873871
13871657,900321752
13871658,204525282
13871659,512546537
13871660,100362027
13871661,600583607
13871662,100012215
13871663,400785234
13871664,900320759
13871665,800622966
13871666,200259028
13871667,906521162
13871668,912111052
13871669,909812046
13871670,307199344
13871671,201069570
13871672,910956074
13871673,500506447
13871674,900418868
13871675,923588798
13871676,101571558
13871677,410055212
13871678,911860998
13871679,800118537
13871680,101447969
13871681,400231429
13871682,100973250
13871683,300068346
13871684,414756111
13871685,100157639
13871686,100968667
13871687,700426134
13871688,384050
13871689,500795768
13871690,200882201
13871691,500643814
13871692,902059898
13871693,922136322
13871694,800293498
13871695,422470181
13871696,200023914
13871697,512116897
13871698,900168565
13871699,600791625
13871700,100702427
13871701,203188523
13871702,511943769
13871703,906547377
13871704,101283182
13871705,300826629
13871706,904207345
13871707,100081357
13871708,516631494
13871709,500729352
13871710,511068142
13871711,500087038
13871712,927166813
13871713,903751353
13871714,904261531
13871715,102517380
13871716,110053191
13871717,700719456
13871718,600334947
13871719,600932921
13871720,215013
13871721,100057512
13871722,900478176
13871723,927857246
13871724,203099167
13871725,100090135
13871726,101564917
13871727,204562531
13871728,400684094
13871729,500477024
13871730,410047870
13871731,901624502
13871732,498469
13871733,903882048
13871734,101475301
13871735,400667402
13871736,900479542
13871737,906918896
13871738,700336169
13871739,500142540
13871740,926227347
13871741,302194128
13871742,202320415
13871743,410104539
13871744,701975164
13871745,100847525
13871746,200745603
13871747,201044936
13871748,461753050
13871749,919059585
13871750,202216166
13871751,203516938
13871752,101292032
13871753,208412001
13871754,400084246
13871755,903579977
13871756,600506798
13871757,800064879
13871758,200926754
13871759,600543406
13871760,100032319
13871761,901255966
13871762,100304554
13871763,912273398
13871764,400825773
13871765,700738701
13871766,34286309
13871767,830468761
13871768,300165261
13871769,913284314
13871770,301090952
13871771,924563403
13871772,200936089
13871773,500906959
13871774,307292776
13871775,910272526
13871776,101052871
13871777,906028129
13871778,600025337
13871779,200234572
13871780,101447455
13871781,300739812
13871782,112789596
13871783,917778539
13871784,904620357
13871785,207421309
13871786,602529027
13871787,917211038
13871788,307105943
13871789,443974100
13871790,201339795
13871791,500094576
13871792,200737503
13871793,927251799
13871794,300000965
13871795,905941357
13871796,101737333
13871797,201255233
13871798,700092905
13871799,400441536
13871800,400109472
13871801,300246989
13871802,422167199
13871803,500581641
13871804,20544
13871805,300838540
13871806,422881838
13871807,200282385
13871808,300870745
13871809,803543450
13871810,606997796
13871811,204942275
13871812,100404961
13871813,800782268
13871814,800718271
13871815,201538331
13871816,416344714
13871817,200143857
13871818,101281314
13871819,303534718
13871820,301101627
13871821,509154141
13871822,200691267
13871823,201447666
13871824,901462832
13871825,32852288
13871826,900166404
13871827,200496693
13871828,928462490
13871829,903729772
13871830,906928333
13871831,201469919
13871832,919808130
13871833,300387493
13871834,800024362
13871835,511027903
13871836,931331482
13871837,603293119
13871838,101188212
13871839,400066650
13871840,303681592
13871841,914703834
13871842,422815663
13871843,701114128
13871844,410347721
13871845,419759804
13871846,302011673
13871847,936218364
13871848,113633269
13871849,600917737
13871850,411986080
13871851,800010056
13871852,400050808
13871853,101371480
13871854,300731354
13871855,410574751
13871856,102842146
13871857,201351563
13871858,300827950
13871859,700006878
13871860,800972272
13871861,105547355
13871862,300464806
13871863,441455199
13871864,800648750
13871865,36361
13871866,903486235
13871867,105496788
13871868,302935742
13871869,400856814
13871870,912196702
13871871,253452
13871872,908893569
13871873,920497758
13871874,916436701
13871875,418616366
13871876,100049057
13871877,402259338
13871878,904169479
13871879,516731128
13871880,411896918
13871881,903251232
13871882,205231780
13871883,200637900
13871884,931565936
13871885,600425482
13871886,700711014
13871887,402316243
13871888,300951623
13871889,600561384
13871890,500634233
13871891,500651867
13871892,424576305
13871893,200317551
13871894,934890871
13871895,800797683
13871896,36062834
13871897,412665670
13871898,832923820
13871899,446675001
13871900,200919271
13871901,201229640
13871902,100712369
13871903,700425937
13871904,700736586
13871905,800189769
13871906,205014860
13871907,201284421
13871908,600531896
13871909,102980400
13871910,413365954
13871911,36204637
13871912,302484800
13871913,600984791
13871914,601069922
13871915,923925273
13871916,800144468
13871917,31927153
13871918,441871187
13871919,104073222
13871920,105836295
13871921,32400124
13871922,903591987
13871923,300798823
13871924,800135667
13871925,702086581
13871926,501107511
13871927,701785591
13871928,918551609
13871929,927633975
13871930,205643984
13871931,101344643
13871932,928092628
13871933,412292790
13871934,600127649
13871935,913208000
13871936,420266677
13871937,400761913
13871938,502386031
13871939,201202927
13871940,500526155
13871941,903865179
13871942,303539684
13871943,203870962
13871944,600638526
13871945,205708544
13871946,903512074
13871947,200622652
13871948,903755977
13871949,300768718
13871950,700223430
13871951,302989666
13871952,101129997
13871953,922654814
13871954,900440090
13871955,300968346
13871956,9180
13871957,916925992
13871958,600793269
13871959,600651583
13871960,101156176
13871961,600943500
13871962,306828986
13871963,410174220
13871964,936528321
13871965,912286871
13871966,908053556
13871967,100860948
13871968,928041645
13871969,702253687
13871970,210380
13871971,1532050
13871972,935480636
13871973,800877639
13871974,826209389
13871975,600561953
13871976,530943
13871977,200460633
13871978,400992613
13871979,904449290
13871980,926294006
13871981,502262926
13871982,800041073
13871983,303776362
13871984,936441987
13871985,303882046
13871986,100723629
13871987,904516163
13871988,204785594
13871989,600506125
13871990,204781823
13871991,400168002
13871992,100293447
13871993,101295029
13871994,201007290
13871995,103701318
13871996,410290642
13871997,702101005
13871998,18795
13871999,921590961
13872000,463147
13872001,300322249
13872002,200987694
13872003,921306339
13872004,603408071
13872005,300848135
13872006,417288708
13872007,201071803
13872008,903931897
13872009,68697
13872010,909052290
13872011,600528567
13872012,801053016
13872013,502538042
13872014,500669557
13872015,600680899
13872016,500116003
13872017,200169805
13872018,906020262
13872019,200626975
13872020,901459973
13872021,416019783
13872022,300885649
13872023,500711218
13872024,932376973
13872025,800015194
13872026,200289179
13872027,901677006
13872028,900301732
13872029,201241244
13872030,410059824
13872031,602119366
13872032,100599464
13872033,300810399
13872034,700534230
13872035,600432087
13872036,201258588
13872037,903033569
13872038,106300025
13872039,203666858
13872040,900589367
13872041,500045133
13872042,100265958
13872043,203449972
13872044,412216374
13872045,507710658
13872046,201094512
13872047,602831010
13872048,500683782
13872049,905765912
13872050,303266151
13872051,906331342
13872052,200497974
13872053,904920151
13872054,106000933
13872055,935754744
13872056,200180025
13872057,910114879
13872058,101244686
13872059,920871055
13872060,419595792
13872061,919824179
13872062,701283991
13872063,255870
13872064,904035433
13872065,515529015
13872066,800055057
13872067,906852957
13872068,700671460
13872069,200728769
13872070,500466183
13872071,200716882
13872072,400472214
13872073,700032757
13872074,901364041
13872075,501196215
13872076,700734851
13872077,209307306
13872078,101082728
13872079,203895381
13872080,370045
13872081,909268502
13872082,700529818
13872083,410066575
13872084,100197396
13872085,900123291
13872086,500683255
13872087,700791062
13872088,600887044
13872089,700838955
13872090,100340391
13872091,200516142
13872092,100196488
13872093,200864671
13872094,926087213
13872095,500122823
13872096,200928066
13872097,100503255
13872098,400210453
13872099,300557418
13872100,911480864
13872101,300829396
13872102,201211708
13872103,100608411
13872104,297526
13872105,201229382
13872106,702200047
13872107,101583175
13872108,600667968
13872109,100907896
13872110,501281946
13872111,929214683
13872112,414169603
13872113,101149225
13872114,441801798
13872115,400723438
13872116,500820033
13872117,101169467
13872118,915423554
13872119,113326879
13872120,519642675
13872121,400480581
13872122,420676913
13872123,502641364
13872124,600293284
13872125,903084115
13872126,203122428
13872127,910877078
13872128,100064379
13872129,200925422
13872130,913417211
13872131,418251292
13872132,926550499
13872133,918730985
13872134,904314892
13872135,900055324
13872136,600223305
13872137,600564677
13872138,603347214
13872139,918643274
13872140,306311397
13872141,600634127
13872142,230679
13872143,700588155
13872144,200558868
13872145,800512919
13872146,425713
13872147,204172306
13872148,200140011
13872149,402286550
13872150,203650160
13872151,425508830
13872152,200638089
13872153,400058871
13872154,904208471
13872155,304147054
13872156,303039858
13872157,908343620
13872158,100552900
13872159,100641734
13872160,400941585
13872161,600520581
13872162,604512470
13872163,908378751
13872164,412903346
13872165,913663903
13872166,800150392
13872167,500034099
13872168,917721257
13872169,101969624
13872170,400014920
13872171,601037187
13872172,908786197
13872173,601013960
13872174,909465525
13872175,907519518
13872176,411755710
13872177,500252583
13872178,100064979
13872179,907728500
13872180,307052578
13872181,201367821
13872182,103219403
13872183,200208831
13872184,201715335
13872185,900296626
13872186,739627
13872187,700069340
13872188,907209602
13872189,600661221
13872190,903886100
13872191,908258210
13872192,422441708
13872193,204413444
13872194,900457278
13872195,400880991
13872196,104960561
13872197,104307503
13872198,410104946
13872199,104795970
13872200,600732478
13872201,902051058
13872202,900491175
13872203,921464833
13872204,900335919
13872205,700224296
13872206,300953339
13872207,105400111
13872208,906479312
13872209,248761
13872210,600738716
13872211,101089337
13872212,601571189
13872213,916489148
13872214,600616885
13872215,600784403
13872216,415479396
13872217,363939
13872218,501365468
13872219,416260721
13872220,300931300
13872221,106062514
13872222,103772310
13872223,901019208
13872224,909211216
13872225,100023036
13872226,425791346
13872227,201325415
13872228,205508345
13872229,101531716
13872230,200436247
13872231,300964488
13872232,330620627
13872233,300426401
13872234,423148135
13872235,300082911
13872236,104243138
13872237,1481742
13872238,901409152
13872239,400151660
13872240,401056268
13872241,426988
13872242,921445694
13872243,604172524
13872244,100354054
13872245,928652357
13872246,906087557
13872247,100355089
13872248,445924075
13872249,400610833
13872250,928583899
13872251,600636210
13872252,919457097
13872253,100355455
13872254,915993977
13872255,803286703
13872256,701730242
13872257,206319464
13872258,400509963
13872259,913407127
13872260,924212396
13872261,701771364
13872262,100084769
13872263,900030943
13872264,101363420
13872265,700782151
13872266,106326076
13872267,103878086
13872268,416502701
13872269,901328237
13872270,200579544
13872271,102568377
13872272,931575259
13872273,419755075
13872274,412216291
13872275,300963871
13872276,700341954
13872277,200587888
13872278,910279379
13872279,935071805
13872280,200777163
13872281,100866148
13872282,700727326
13872283,910193113
13872284,200191441
13872285,204280199
13872286,703018886
13872287,826057807
13872288,911672006
13872289,600454975
13872290,600194515
13872291,100358383
13872292,903875214
13872293,101584908
13872294,500379278
13872295,908864041
13872296,101546523
13872297,829374771
13872298,104941119
13872299,500188818
13872300,600566439
13872301,904417219
13872302,914273278
13872303,104788428
13872304,910058214
13872305,100052891
13872306,200281593
13872307,700241556
13872308,300564333
13872309,105952373
13872310,600562049
13872311,800183313
13872312,81290
13872313,603376923
13872314,700722846
13872315,112028905
13872316,905800355
13872317,400564671
13872318,907277333
13872319,105386959
13872320,828184376
13872321,700694557
13872322,426339415
13872323,104845464
13872324,802954791
13872325,417625679
13872326,300409671
13872327,100982020
13872328,300060689
13872329,700040495
13872330,100755499
13872331,401711185
13872332,201816950
13872333,101248374
13872334,400089473
13872335,33978119
13872336,101761021
13872337,102811836
13872338,293269
13872339,101269425
13872340,918038655
13872341,604455016
13872342,600958944
13872343,104899730
13872344,700925780
13872345,600894727
13872346,400277086
13872347,201197357
13872348,924919660
13872349,100136271
13872350,104878272
13872351,303821829
13872352,914510186
13872353,400852150
13872354,930296968
13872355,500643542
13872356,500136839
13872357,802590492
13872358,600091520
13872359,800652145
13872360,500582385
13872361,100602446
13872362,303018907
13872363,600605450
13872364,411983269
13872365,100597296
13872366,204817825
13872367,400861378
13872368,101462958
13872369,602342737
13872370,200969752
13872371,500542800
13872372,700498490
13872373,603115691
13872374,101491186
13872375,602240577
13872376,916857568
13872377,31337504
13872378,302365938
13872379,509331420
13872380,906058061
13872381,825636602
13872382,700368679
13872383,912787556
13872384,112797365
13872385,803519574
13872386,201044805
13872387,602417510
13872388,903010604
13872389,34843524
13872390,700697136
13872391,800902550
13872392,100432335
13872393,30858597
13872394,904257815
13872395,600646703
13872396,605128485
13872397,901451983
13872398,901641632
13872399,906913513
13872400,303514919
13872401,32132906
13872402,600025218
13872403,400069309
13872404,400387575
13872405,101173983
13872406,901199082
13872407,800070526
13872408,920200157
13872409,746262
13872410,600788896
13872411,500734688
13872412,900031093
13872413,414803085
13872414,602027383
13872415,212467175
13872416,700273638
13872417,600446412
13872418,500495303
13872419,508356416
13872420,200071819
13872421,483745491
13872422,918895446
13872423,105662692
13872424,300859083
13872425,900064584
13872426,921840497
13872427,909327305
13872428,600561072
13872429,400838234
13872430,928162314
13872431,31111180
13872432,600524677
13872433,201527813
13872434,500791116
13872435,501442204
13872436,303194460
13872437,800666898
13872438,401360847
13872439,500748684
13872440,700043406
13872441,400597497
13872442,803547932
13872443,803283233
13872444,100891107
13872445,103744603
13872446,111116493
13872447,700761097
13872448,500004751
13872449,400878620
13872450,901301451
13872451,914339063
13872452,701678761
13872453,200422333
