_CustomObjectKey,ID_ENCARTEIRAMENTO,DESC_ENCARTEIRAMENTO
660,27,NAO CADASTRADA
661,26,NAO CADASTRADA
662,61,NAO CADASTRADA
663,30,NAO CADASTRADA
664,71,NAO CADASTRADA
665,10,ESTILO
666,21,EXCLUSIVO
667,23,PREFERENCIAL
668,24,PESSOA FISICA
669,40,PRIVATE
670,80,GRUPO OUTROS TIT
671,81,GRUPO CTA MOV LIM
672,82,GRUPO CTA BLOQUEADA
673,83,GRUPO COOPERADOS
674,84,GRUPO POUP N CORRENT
675,85,GRUPO BENEF SOCIAIS
676,86,GRUPO CLIENTE PRODUT
677,87,GRUPO OUTRAS AGENC
678,88,FALECIDOS COM OPER
679,89,GRUPO INADIMPLENTES
680,90,DESENC DIREV
681,150,BB EMPRESARIAL
682,160,USUARIOS
683,170,IMPEDIDOS
684,180,RELACIONAMENTO
685,300,EMPRESAS
686,301,GRUPO MICROEMPRESAS
687,380,GRUPO USUARIOS
688,381,GRUPO GOVERNO
689,382,GRUPO ENTIDADES
690,383,GRUPO NAO RENTABILIZ
691,384,GRUPO CADASTRO
692,400,GOVERNO
693,410,INFORMATIVA
694,420,USUARIOS
695,430,RELACIONAMENTO
696,500,CORPORATE
697,96,NAO CADASTRADA
698,51,NAO CADASTRADA
699,97,NAO CADASTRADA
700,0,NAO CADASTRADA
701,302,NAO CADASTRADA
702,20,UNIVERSITARIOS
703,78,GRUPO CTA S/ CONFORM
704,95,NAO CADASTRADA
705,93,GRUPO REST CADASTRAL
706,304,POTENCIAL PJ
707,99,GRUPO JOVEM
708,387,GRUPO PRODUTO PJ
709,303,EMPRESAS I
710,305,ATENDIMENTO PJ
711,306,GOVERNO COM NEGOCIOS
712,388,GOVERNO CADASTRO
713,386,GRUPO CTA INTEGRACAO
714,50,RURAL ESTILO
715,25,PERSONALIZADO I
716,92,NAO CADASTRADA
717,79,NAO CADASTRADA
718,385,NAO CADASTRADA
719,18,VAREJO I
720,16,PERSONALIZADO
721,15,GRUPO COMERCIAL
722,19,VAREJO II
723,315,EMPRESAS II
724,17,POTENCIAL PF
725,550,LARGE CORPORATE
726,402,NAO CADASTRADA
727,422,NAO CADASTRADA
728,335,NAO CADASTRADA
729,5009,NAO CADASTRADA
730,445,NAO CADASTRADA
731,310,NAO CADASTRADA
732,669,NAO CADASTRADA
733,5095,NAO CADASTRADA
734,5093,NAO CADASTRADA
735,5125,NAO CADASTRADA
736,591,NAO CADASTRADA
737,534,NAO CADASTRADA
738,5087,NAO CADASTRADA
739,5121,NAO CADASTRADA
740,415,NAO CADASTRADA
741,503,NAO CADASTRADA
742,579,NAO CADASTRADA
743,70,BANCO POSTAL PF
744,200,MIDDLE
745,667,NAO CADASTRADA
746,366,NAO CADASTRADA
747,590,NAO CADASTRADA
748,538,NAO CADASTRADA
749,340,NAO CADASTRADA
750,75,USU GERENC FINANC
751,404,NAO CADASTRADA
752,577,NAO CADASTRADA
753,515,NAO CADASTRADA
754,5115,NAO CADASTRADA
755,403,NAO CADASTRADA
756,691,NAO CADASTRADA
757,369,NAO CADASTRADA
758,409,NAO CADASTRADA
759,572,NAO CADASTRADA
760,5109,NAO CADASTRADA
761,5114,NAO CADASTRADA
762,5111,NAO CADASTRADA
763,456,NAO CADASTRADA
764,594,NAO CADASTRADA
765,414,NAO CADASTRADA
766,593,NAO CADASTRADA
767,411,NAO CADASTRADA
768,327,NAO CADASTRADA
769,47,PRIVATE MISTA
770,342,NAO CADASTRADA
771,5011,NAO CADASTRADA
772,5020,NAO CADASTRADA
773,279,NAO CADASTRADA
774,455,NAO CADASTRADA
775,323,MICROEMPRESA REMOTA
776,5055,NAO CADASTRADA
777,4,NAO CADASTRADA
778,59,NAO CADASTRADA
779,5080,NAO CADASTRADA
780,241,NAO CADASTRADA
781,5050,NAO CADASTRADA
782,5073,NAO CADASTRADA
783,5089,NAO CADASTRADA
784,5083,NAO CADASTRADA
785,250,NAO CADASTRADA
786,233,NAO CADASTRADA
787,5059,NAO CADASTRADA
788,5058,NAO CADASTRADA
789,312,NAO CADASTRADA
790,408,NAO CADASTRADA
791,351,NAO CADASTRADA
792,274,NAO CADASTRADA
793,272,NAO CADASTRADA
794,226,NAO CADASTRADA
795,502,NAO CADASTRADA
796,354,NAO CADASTRADA
797,299,NAO CADASTRADA
798,483,NAO CADASTRADA
799,5071,NAO CADASTRADA
800,275,NAO CADASTRADA
801,5054,NAO CADASTRADA
802,5072,NAO CADASTRADA
803,313,NAO CADASTRADA
804,5061,NAO CADASTRADA
805,5070,NAO CADASTRADA
806,296,NAO CADASTRADA
807,60,NAO CADASTRADA
808,521,NAO CADASTRADA
809,67,NAO CADASTRADA
810,5084,NAO CADASTRADA
811,329,NAO CADASTRADA
812,94,NAO CADASTRADA
813,444,NAO CADASTRADA
814,5046,NAO CADASTRADA
815,481,NAO CADASTRADA
816,356,NAO CADASTRADA
817,298,NAO CADASTRADA
818,5076,NAO CADASTRADA
819,278,NAO CADASTRADA
820,556,NAO CADASTRADA
821,5062,NAO CADASTRADA
822,331,NAO CADASTRADA
823,5081,NAO CADASTRADA
