Dataextension name: Unsubscribe_backup_exclusao

| Name                 | Type            | Not NULL | PK       | Default Value   |
| -------------------- | --------------- | -------- | -------- | --------------- |
| AccountID            | Number          | true     | false    |                 |
| OYBAccountID         | Number          | false    | false    |                 |
| JobID                | Number          | true     | false    |                 |
| ListID               | Number          | true     | false    |                 |
| BatchID              | Number          | true     | false    |                 |
| SubscriberID         | Text(50)        | true     | false    |                 |
| SubscriberKey        | Text(100)       | true     | false    |                 |
| EventDate            | Date            | true     | false    |                 |
| IsUnique             | Boolean         | true     | false    |                 |
| Domain               | Text(100)       | true     | false    |                 |
| Data_exclusao        | Date            | true     | false    | GetDate()       |
