_CustomObjectKey,automationinstancestatus,activityName,activityType
2,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
3,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
4,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
5,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
6,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
7,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
8,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
9,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
10,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
11,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
12,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
13,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
14,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
15,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
16,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
17,Complete,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
18,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
19,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
20,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
21,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
22,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
23,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
24,Stopped,Qr04_Boas_Vindas_Caracteristicas_Ourocap_Trata_Quarentena,300
