_CustomObjectKey,automationinstancestatus,automationName,activityName,activityType,activityinstancestatus
2,Stopped,2.Nova_At_Campanha_Propostas_Ourocap_Nao_Pagas_Retorno,Ex02_Prop_N_Pag_Dados_Bancarios_TMKT,73,Initialized
3,Stopped,2.Nova_At_Campanha_Propostas_Ourocap_Nao_Pagas_Retorno,Ex02_Prop_N_Pag_Dados_Bancarios_TMKT,73,Initialized
4,Stopped,2.Nova_At_Campanha_Propostas_Ourocap_Nao_Pagas_Retorno,Ex02_Prop_N_Pag_Dados_Bancarios_TMKT,73,Initialized
5,Stopped,2.Nova_At_Campanha_Propostas_Ourocap_Nao_Pagas_Retorno,Ex02_Prop_N_Pag_Dados_Bancarios_TMKT,73,Initialized
6,Stopped,2.Nova_At_Campanha_Propostas_Ourocap_Nao_Pagas_Retorno,Ex02_Prop_N_Pag_Dados_Bancarios_TMKT,73,Initialized
7,Stopped,2.Nova_At_Campanha_Propostas_Ourocap_Nao_Pagas_Retorno,Ex02_Prop_N_Pag_Dados_Bancarios_TMKT,73,Initialized
8,Stopped,2.Nova_At_Campanha_Propostas_Ourocap_Nao_Pagas_Retorno,Ex02_Prop_N_Pag_Dados_Bancarios_TMKT,73,Initialized
9,Stopped,2.Nova_At_Campanha_Propostas_Ourocap_Nao_Pagas_Retorno,Ex02_Prop_N_Pag_Dados_Bancarios_TMKT,73,Initialized
10,Stopped,2.Nova_At_Campanha_Propostas_Ourocap_Nao_Pagas_Retorno,Ex02_Prop_N_Pag_Dados_Bancarios_TMKT,73,Initialized
11,Stopped,2.Nova_At_Campanha_Propostas_Ourocap_Nao_Pagas_Retorno,Ex02_Prop_N_Pag_Dados_Bancarios_TMKT,73,Initialized
