_CustomObjectKey,RESULTADO,COUNT
2,<null>,0
3,ALTA RENDA,745132
4,CELULAR INVÁLIDO,4
5,COMPRA RECENTE OUROCAP,383074
6,EM QUARENTENA,4456435
7,EXCLUIDO RNA,105320
8,IDADE INVALIDA,24829
9,NÃO COMPROU NOS ULTIMOS 30 DIAS,236887
10,NÃO DESEJA CONTATO TELEFONICO,272
11,NÃO IMPORTUNE,641393
12,NÃO POSSUI CONTA ATIVA,1150
13,NÃO POSSUI CONTA CORRENTE,652447
14,NÃO POSSUI TELEFONE ATIVO,128625
15,NÃO POSSUI TITULO ATIVO,2810353
16,PEP,10567
17,QUARENTENA,1123089
18,REALIZOU O ACEITE,1258
19,TITULO ATIVO RECENTE,7928
