_CustomObjectKey,JobID,EventDate,SubscriberKey
1888531,170706,7/16/2023 12:05:41 PM,0036g00001i1TNJAA2
1888532,237036,3/22/2023 6:05:18 PM,0036g00001dhFOhAAM
1888533,238273,3/23/2023 3:32:17 PM,0036g00001UzA1JAAV
1888534,237036,5/4/2023 7:12:55 PM,0036g00001QzUU6AAN
1888538,237036,5/28/2023 12:40:13 PM,0036g00001a02j3AAA
1888540,251324,7/6/2023 3:11:23 AM,0036g00001PzKsnAAF
1888542,238273,7/18/2023 5:48:55 PM,0036g00001V0Sz2AAF
1888543,251325,7/20/2023 11:15:08 AM,0036g00001PymYRAAZ
1888546,238274,7/23/2023 1:44:15 PM,0036g00001a01SmAAI
1888547,237036,5/12/2023 10:26:21 PM,0036g00001PuZbCAAV
1888549,170707,7/23/2023 10:06:25 AM,0036g00001pQal7AAC
1888550,233384,3/24/2023 6:57:37 AM,0036g00001RLSbXAAX
1888552,238275,3/29/2023 5:21:52 PM,0036g00001Q0fs7AAB
1888553,238274,4/23/2023 1:06:11 PM,0036g00001lB3tvAAC
1888554,281415,3/9/2023 2:42:17 PM,0036g00001xDbh5AAC
1888555,238274,3/15/2023 6:36:30 PM,0036g00001RRuaUAAT
1888556,238275,3/23/2023 8:37:35 AM,0036g00001RUsQCAA1
1888557,285792,3/14/2023 3:21:11 AM,0036g00001RQsEuAAL
1888559,285792,3/16/2023 7:49:35 AM,0036g00001OXbGhAAL
1888560,285792,3/23/2023 12:05:48 PM,0036g00001pNiMAAA0
1888561,285792,3/27/2023 6:12:16 AM,0036g00001PzKsmAAF
1888562,281415,4/3/2023 6:35:18 AM,0036g00001RTfuaAAD
1888563,281415,7/8/2023 10:10:32 AM,0036g00001RTx8UAAT
1888564,281415,3/7/2023 4:55:50 AM,0036g00001PuuGEAAZ
1888565,170707,3/9/2023 8:33:14 PM,0036g00001Zxj2OAAR
1888566,285792,3/11/2023 7:34:40 PM,0036g00001U8SyXAAV
1888567,281415,3/11/2023 9:05:51 PM,0036g00001RUQzmAAH
1888568,285792,3/13/2023 4:06:08 AM,0036g00002B0f74AAB
1888569,281415,3/14/2023 9:45:00 AM,0036g00001QETLUAA5
1888570,285792,3/14/2023 11:32:51 AM,0036g00001xk6r0AAA
1888571,170706,3/14/2023 6:43:05 PM,0036g00001SvgHFAAZ
1888572,170707,3/15/2023 8:19:48 AM,0036g00001Q0O03AAF
1888573,170708,3/16/2023 3:21:40 AM,0036g00001RRCB2AAP
1888574,285518,3/17/2023 2:03:59 PM,0036g00001Q0oKFAAZ
