_CustomObjectKey,ID,HC_Classificacao__c
673040,a0i6g000006EKIpAAO,Cliente
673041,a0i6g000006EQtPAAW,Cliente
673042,a0i6g000006Ec9uAAC,Cliente
673043,a0i6g000006Ex1NAAS,Cliente
673044,a0i6g000006FKy1AAG,Cliente
673045,a0i6g000006Fo61AAC,Cliente
673046,a0i6g000006GHiAAAW,Cliente
673047,a0i6g000006GOX3AAO,Cliente
673048,a0i6g000006HAMyAAO,Cliente
673049,a0i6g000006HuDpAAK,Cliente
673050,a0i6g000006I9SdAAK,Cliente
673051,a0i6g000006IGv1AAG,Cliente
673052,a0i6g000006IW16AAG,Cliente
673053,a0i6g000006IZnAAAW,Cliente
673054,a0i6g000006IaMQAA0,Cliente
673055,a0i6g000006JSGHAA4,Cliente
673056,a0i6g000006JVLaAAO,Cliente
673057,a0i6g000006JyrXAAS,Cliente
673058,a0i6g000006K0CmAAK,Cliente
673059,a0i6g000006KEHFAA4,Cliente
673060,a0i6g000006KTc9AAG,Cliente
673061,a0i6g000006Kas6AAC,Cliente
673062,a0i6g000006KsV1AAK,Cliente
673063,a0i6g000006KtqJAAS,Cliente
673064,a0i6g000006KxNyAAK,Cliente
673065,a0i6g000006KxdwAAC,Cliente
673066,a0i6g000006LFALAA4,Cliente
673067,a0i6g000006MnprAAC,Cliente
673068,a0i6g000006N6a8AAC,Cliente
673069,a0i6g000006N6wjAAC,Cliente
673070,a0i6g000006NjzRAAS,Cliente
673071,a0i6g000006OPecAAG,Cliente
673072,a0i6g000006P8slAAC,Cliente
673073,a0i6g000006Q9fdAAC,Cliente
673074,a0i6g000006QDzEAAW,Cliente
673075,a0i6g000006QQvKAAW,Cliente
673076,a0i6g000006RxVcAAK,Cliente
673077,a0i6g000006SH9FAAW,Cliente
673078,a0i6g000006cxTUAAY,Cliente
673079,a0i6g0000089QFJAA2,Cliente
673080,a0i6g000009mbSOAAY,Cliente
673081,a0i6g00000A9J4MAAV,Cliente
673082,a0i6g00000Ai7kSAAR,Cliente
673083,a0i6g00000BTLG9AAP,Cliente
673084,a0i6g00000BTbPGAA1,Cliente
673085,a0i6g00000EkJFwAAN,Cliente
673086,a0i6g000006Di2GAAS,Cliente
673087,a0i6g000006DnfkAAC,Cliente
673088,a0i6g000006FwSVAA0,Cliente
673089,a0i6g000006GRs6AAG,Cliente
673090,a0i6g000006DouWAAS,Cliente
673091,a0i6g000006E0WiAAK,Cliente
673092,a0i6g000006EblIAAS,Cliente
673093,a0i6g000006Ec57AAC,Cliente
673094,a0i6g000006Ee4wAAC,Cliente
673095,a0i6g000006Eu5qAAC,Cliente
673096,a0i6g000006FcvpAAC,Cliente
673097,a0i6g000006FrMKAA0,Cliente
673098,a0i6g000006GI1RAAW,Cliente
673099,a0i6g000006GI2oAAG,Cliente
673100,a0i6g000006GQgNAAW,Cliente
673101,a0i6g000006GttBAAS,Cliente
673102,a0i6g000006GuBhAAK,Cliente
673103,a0i6g000006HKaxAAG,Cliente
673104,a0i6g000006JPyKAAW,Cliente
673105,a0i6g000006K3tOAAS,Cliente
673106,a0i6g000006KWbWAAW,Cliente
673107,a0i6g000006L5KcAAK,Cliente
673108,a0i6g000006LjERAA0,Cliente
673109,a0i6g000006MNv6AAG,Cliente
673110,a0i6g000006MWNBAA4,Cliente
673111,a0i6g000006NL22AAG,Cliente
673112,a0i6g000006OKsNAAW,Cliente
673113,a0i6g000006QRrDAAW,Cliente
673114,a0i6g000006QwEIAA0,Cliente
673115,a0i6g000006R5bHAAS,Cliente
673116,a0i6g000008Bu1oAAC,Cliente
673117,a0i6g000008GDapAAG,Cliente
673118,a0i6g000005lt6KAAQ,Cliente
673119,a0i6g000005nBnRAAU,Cliente
673120,a0i6g000009incXAAQ,Cliente
673121,a0i6g000005ecqiAAA,Cliente
673122,a0i6g00000H5lJBAAZ,Cliente
673123,a0i6g00000H7OghAAF,Cliente
673124,a0i6g00000H7PWGAA3,Cliente
673125,a0i6g000006DfUMAA0,Cliente
673126,a0i6g000006DhImAAK,Cliente
673127,a0i6g000006Dn1iAAC,Cliente
673128,a0i6g000006E9h9AAC,Cliente
673129,a0i6g000006EDw5AAG,Cliente
673130,a0i6g000006EF3wAAG,Cliente
673131,a0i6g000006EVojAAG,Cliente
673132,a0i6g000006Ew8FAAS,Cliente
673133,a0i6g000006FOlcAAG,Cliente
673134,a0i6g000006Ft4pAAC,Cliente
673135,a0i6g000006FwI2AAK,Cliente
673136,a0i6g000006FzUlAAK,Cliente
673137,a0i6g000006GFCHAA4,Cliente
673138,a0i6g000006GKSyAAO,Cliente
