_CustomObjectKey,ID,HC_Classificacao__c
3165831,a0i6g00000H7UFOAA3,Cliente Potencial
3165832,a0i6g00000EhViqAAF,Cliente Potencial
3165833,a0i6g00000H7VCjAAN,Cliente Potencial
3165834,a0i6g00000H7VCAAA3,Cliente Potencial
3165835,a0i6g00000H7VCFAA3,Cliente Potencial
3165836,a0i6g00000H7UxPAAV,Cliente Potencial
3165837,a0i6g00000H7UxZAAV,Cliente Potencial
3165838,a0i6g00000By6DNAAZ,Cliente Potencial
3165839,a0i6g0000089QGXAA2,Cliente Potencial
3165840,a0i6g0000089QGiAAM,Cliente Potencial
3165841,a0i6g0000089QGxAAM,Cliente Potencial
3165842,a0i6g0000089QHHAA2,Cliente Potencial
3165843,a0i6g0000089QHPAA2,Cliente Potencial
3165844,a0i6g0000089QHQAA2,Cliente Potencial
3165845,a0i6g0000089QbEAAU,Cliente Potencial
3165846,a0i6g0000089QbGAAU,Cliente Potencial
3165847,a0i6g0000089QbPAAU,Cliente Potencial
3165848,a0i6g0000089QbaAAE,Cliente Potencial
3165849,a0i6g0000089QbiAAE,Cliente Potencial
3165850,a0i6g0000089QbjAAE,Cliente Potencial
3165851,a0i6g0000089Qc2AAE,Cliente Potencial
3165852,a0i6g0000089QcCAAU,Cliente Potencial
3165853,a0i6g0000089QcDAAU,Cliente Potencial
3165854,a0i6g0000089QcFAAU,Cliente Potencial
3165855,a0i6g0000089QcLAAU,Cliente Potencial
3165856,a0i6g00000Eh7ILAAZ,Cliente Potencial
3165857,a0i6g0000089QFfAAM,Cliente Potencial
3165858,a0i6g00000H7UVLAA3,Cliente Potencial
3165859,a0i6g00000H7UXMAA3,Cliente Potencial
3165860,a0i6g00000H7UWxAAN,Cliente Potencial
3165861,a0i6g00000H7GT3AAN,Cliente Potencial
3165862,a0i6g00000EhhQhAAJ,Cliente Potencial
3165863,a0i6g00000H7UijAAF,Cliente Potencial
3165864,a0i6g00000H7UjhAAF,Cliente Potencial
3165865,a0i6g00000H7UjwAAF,Cliente Potencial
3165866,a0i6g00000H7PzkAAF,Cliente Potencial
3165867,a0i6g00000H7TLlAAN,Cliente Potencial
3165868,a0i6g00000H7UmXAAV,Cliente Potencial
