_CustomObjectKey,ID,HC_CustomerToBeDeleted_Flg__c
1550785,a0i6g000008rLWrAAM,false
1550786,a0i6g000005n2qrAAA,false
1550787,a0i6g000005TENQAA4,false
1550788,a0i6g000008e5NyAAI,false
1550789,a0i6g000008C80fAAC,false
1550790,a0i6g000008C2jnAAC,false
1550791,a0i6g000008e12eAAA,false
1550792,a0i6g000008pbXqAAI,false
1550793,a0i6g000008Ig65AAC,false
1550794,a0i6g000008eDczAAE,false
1550795,a0i6g000008VRpWAAW,false
1550796,a0i6g000009iOK1AAM,false
1550797,a0i6g000008dnxWAAQ,false
1550798,a0i6g000005m3dhAAA,false
1550799,a0i6g000008TPykAAG,false
1550800,a0i6g000009PbJHAA0,false
1550801,a0i6g000008qQnPAAU,false
1550802,a0i6g000008edTxAAI,false
1550803,a0i6g000009hyVpAAI,false
1550804,a0i6g00000A9Tk0AAF,false
1550805,a0i6g000005n0UKAAY,false
1550806,a0i6g000009xwM0AAI,false
1550807,a0i6g000008e9rCAAQ,false
1550808,a0i6g0000089u2xAAA,false
1550809,a0i6g000005mi7EAAQ,false
1550810,a0i6g000005mznmAAA,false
1550811,a0i6g000009l82VAAQ,false
1550812,a0i6g000005TGZCAA4,false
1550813,a0i6g000009DOLEAA4,false
1550814,a0i6g000008dpC5AAI,false
1550815,a0i6g000008ph7tAAA,false
1550816,a0i6g000005S5TcAAK,false
1550817,a0i6g000008QnMdAAK,false
1550818,a0i6g00000A9TaOAAV,false
1550819,a0i6g000005TY2MAAW,false
1550820,a0i6g00000A8xvwAAB,false
1550821,a0i6g000008TzWZAA0,false
1550822,a0i6g000008e2kpAAA,false
1550823,a0i6g0000089xjQAAQ,false
1550824,a0i6g000005RzFdAAK,false
1550825,a0i6g000008FCGxAAO,false
1550826,a0i6g000009n9x4AAA,false
1550827,a0i6g000008q88HAAQ,false
1550828,a0i6g000005mfhAAAQ,false
1550829,a0i6g000005T8TZAA0,false
1550830,a0i6g000008qhgTAAQ,false
1550831,a0i6g000008CxySAAS,false
1550832,a0i6g000005SSjoAAG,false
1550833,a0i6g000005S1EHAA0,false
1550834,a0i6g000008PCSCAA4,false
1550835,a0i6g00000A9GNZAA3,false
1550836,a0i6g00000A9Vl6AAF,false
1550837,a0i6g000008wwSuAAI,false
1550838,a0i6g000008ejNcAAI,false
1550839,a0i6g000005mZx4AAE,false
1550840,a0i6g000009xxANAAY,false
1550841,a0i6g00000A7z4IAAR,false
1550842,a0i6g000008dxiFAAQ,false
1550843,a0i6g000008eAxRAAU,false
1550844,a0i6g00000A9ScKAAV,false
1550845,a0i6g000009kJCcAAM,false
1550846,a0i6g000008dpcfAAA,false
1550847,a0i6g000008cCYIAA2,false
1550848,a0i6g000005SKmLAAW,false
1550849,a0i6g000005mP3uAAE,false
1550850,a0i6g000009mogvAAA,false
1550851,a0i6g000008eBbVAAU,false
1550852,a0i6g000007vW7xAAE,false
1550853,a0i6g000005TULJAA4,false
1550854,a0i6g00000A0jvhAAB,false
1550855,a0i6g00000A82L5AAJ,false
1550856,a0i6g000008U1D1AAK,false
1550857,a0i6g000005TMwiAAG,false
1550858,a0i6g000005QxMFAA0,false
1550859,a0i6g000008UBvKAAW,false
1550860,a0i6g00000A0VhWAAV,false
1550861,a0i6g000005mL9QAAU,false
1550862,a0i6g000005T9EGAA0,false
1550863,a0i6g000008dZzuAAE,false
1550864,a0i6g000008eCcvAAE,false
1550865,a0i6g000009S01zAAC,false
1550866,a0i6g000008e2caAAA,false
1550867,a0i6g000008qY0XAAU,false
1550868,a0i6g000008dgjIAAQ,false
1550869,a0i6g000008VRodAAG,false
1550870,a0i6g000009jTOKAA2,false
1550871,a0i6g000008eCWAAA2,false
1550872,a0i6g000008e9JLAAY,false
1550873,a0i6g000009jH55AAE,false
1550874,a0i6g000008SmknAAC,false
1550875,a0i6g000008R02eAAC,false
1550876,a0i6g000008C9ELAA0,false
1550877,a0i6g000005mjLnAAI,false
1550878,a0i6g000006Hn5yAAC,false
1550879,a0i6g000008dsdbAAA,false
1550880,a0i6g000005mR3QAAU,false
1550881,a0i6g000008eAWaAAM,false
1550882,a0i6g00000A9VmZAAV,false
1550883,a0i6g000008UCONAA4,false
1550884,a0i6g000008e8lXAAQ,false
1550885,a0i6g000008EIFSAA4,false
1550886,a0i6g000005TI7JAAW,false
1550887,a0i6g000005SlmQAAS,false
1550888,a0i6g000005T2XAAA0,false
1550889,a0i6g0000089IwTAAU,false
1550890,a0i6g000009kHSlAAM,false
