_CustomObjectKey,ID,HC_CustomerToBeDeleted_Flg__c
118092,a0i6g000005QwoPAAS,false
118093,a0i6g000005QwrXAAS,false
118094,a0i6g000005QwrmAAC,false
118095,a0i6g000005QwtfAAC,false
118096,a0i6g000005QxLyAAK,false
118097,a0i6g000005QxM4AAK,false
118098,a0i6g000005QxNTAA0,false
118099,a0i6g000005QxQ6AAK,false
118100,a0i6g000005QxZ3AAK,false
118101,a0i6g000005QxchAAC,false
118102,a0i6g000005Qxm2AAC,false
118103,a0i6g000005QxrMAAS,false
118104,a0i6g000005Qxu3AAC,false
118105,a0i6g000005Qxu7AAC,false
118106,a0i6g000005QxyFAAS,false
118107,a0i6g000005Qy1ZAAS,false
118108,a0i6g000005QyOgAAK,false
118109,a0i6g000005QyOlAAK,false
118110,a0i6g000005QyfFAAS,false
118111,a0i6g000005QyfNAAS,false
118112,a0i6g000005QyfdAAC,false
118113,a0i6g000005QyfkAAC,false
118114,a0i6g000005QyfmAAC,false
118115,a0i6g000005Qyi2AAC,false
118116,a0i6g000005QykJAAS,false
118117,a0i6g000005QypeAAC,false
118118,a0i6g000005Qyt5AAC,false
118119,a0i6g000005Qyx4AAC,false
118120,a0i6g000005QzB9AAK,false
118121,a0i6g000005QzCVAA0,false
118122,a0i6g000005QzDNAA0,false
118123,a0i6g000005QzIKAA0,false
118124,a0i6g000005QzUrAAK,false
118125,a0i6g000005QzVkAAK,false
118126,a0i6g000005QzY3AAK,false
118127,a0i6g000005QzYAAA0,false
118128,a0i6g000005QzYgAAK,false
118129,a0i6g000005QzZXAA0,false
118130,a0i6g000005QzbLAAS,false
118131,a0i6g000005QzbRAAS,false
118132,a0i6g000005QzhOAAS,false
118133,a0i6g000005Qzm3AAC,false
118134,a0i6g000005QzmTAAS,false
118135,a0i6g000005QznwAAC,false
118136,a0i6g000005QzpvAAC,false
118137,a0i6g000005QzqAAAS,false
118138,a0i6g000005QzqFAAS,false
118139,a0i6g000005QzsxAAC,false
