_CustomObjectKey,CODIGO_PEDIDO
2,0000099782 - Venda Ativa
3,0000099770 - Venda Ativa
4,0000099769 - Venda Ativa
5,0000099783 - Venda Ativa
6,0000099771 - Venda Ativa
7,0000099772 - Venda Ativa
8,0000099784 - Venda Ativa
9,0000099781 - Venda Ativa
10,0000099767 - Venda Ativa
11,0000099768 - Venda Ativa
12,0000099780 - Venda Ativa
13,0000099766 - Venda Ativa
14,0000099758 - Venda Ativa
15,0000099757 - Venda Ativa
16,0000099764 - Venda Ativa
17,0000099763 - Venda Ativa
18,0000099777 - Venda Ativa
19,0000099755 - Venda Ativa
20,0000099776 - Venda Ativa
21,0000099754 - Venda Ativa
22,0000099765 - Venda Ativa
23,0000099778 - Venda Ativa
24,0000099756 - Venda Ativa
25,0000099779 - Venda Ativa
26,0000099791 - Venda Ativa
27,0000099793 - Venda Ativa
28,0000099792 - Venda Ativa
29,0000099789 - Venda Ativa
30,0000099788 - Venda Ativa
31,0000099790 - Venda Ativa
32,0000099775 - Venda Ativa
33,0000099773 - Venda Ativa
34,0000099786 - Venda Ativa
35,0000099785 - Venda Ativa
36,0000099774 - Venda Ativa
37,0000099787 - Venda Ativa
38,0000099738 - Venda Ativa
39,0000099725 - Venda Ativa
40,0000099740 - Venda Ativa
41,0000099739 - Venda Ativa
42,0000099750 - Venda Ativa
43,0000099753 - Venda Ativa
44,0000099742 - Venda Ativa
45,0000099752 - Venda Ativa
46,0000099741 - Venda Ativa
47,0000099737 - Venda Ativa
48,0000099736 - Venda Ativa
49,0000099724 - Venda Ativa
50,0000099735 - Venda Ativa
51,0000099711 - Venda Ativa
52,0000099722 - Venda Ativa
53,0000099712 - Venda Ativa
54,0000099723 - Venda Ativa
55,0000099720 - Venda Ativa
56,0000099734 - Venda Ativa
57,0000099721 - Venda Ativa
58,0000099748 - Venda Ativa
59,0000099747 - Venda Ativa
60,0000099762 - Venda Ativa
61,0000099749 - Venda Ativa
62,0000099761 - Venda Ativa
63,0000099745 - Venda Ativa
64,0000099744 - Venda Ativa
65,0000099731 - Venda Ativa
66,0000099760 - Venda Ativa
67,0000099730 - Venda Ativa
68,0000099746 - Venda Ativa
69,0000099733 - Venda Ativa
70,0000099732 - Venda Ativa
71,0000099726 - Venda Ativa
72,0000099743 - Venda Ativa
73,0000099727 - Venda Ativa
74,0000099759 - Venda Ativa
75,0000099729 - Venda Ativa
76,0000099728 - Venda Ativa
77,0000099719 - Venda Ativa
78,0000099718 - Venda Ativa
79,0000099717 - Venda Ativa
80,0000099714 - Venda Ativa
81,0000099716 - Venda Ativa
82,0000099715 - Venda Ativa
83,0000099713 - Venda Ativa
84,0000100074 - Venda Ativa
85,0000100073 - Venda Ativa
86,0000099794 - Venda Ativa
87,0000099795 - Venda Ativa
88,0000098928 - Venda Ativa
89,0000098819 - Venda Ativa
90,0000098815 - Venda Ativa
91,0000098824 - Venda Ativa
92,0000098813 - Venda Ativa
93,0000098817 - Venda Ativa
94,0000098918 - Venda Ativa
95,0000098808 - Venda Ativa
96,0000098910 - Venda Ativa
97,0000098908 - Venda Ativa
98,0000099045 - Venda Ativa
99,0000098864 - Venda Ativa
100,0000098850 - Venda Ativa
101,0000098849 - Venda Ativa
102,0000098839 - Venda Ativa
103,0000098841 - Venda Ativa
104,0000098838 - Venda Ativa
105,0000098943 - Venda Ativa
106,0000098833 - Venda Ativa
107,0000098942 - Venda Ativa
108,0000098934 - Venda Ativa
109,0000099226 - Venda Ativa
110,0000099232 - Venda Ativa
111,0000099238 - Venda Ativa
112,0000099237 - Venda Ativa
113,0000099225 - Venda Ativa
114,0000099231 - Venda Ativa
115,0000099234 - Venda Ativa
116,0000099223 - Venda Ativa
117,0000099224 - Venda Ativa
118,0000099244 - Venda Ativa
119,0000099240 - Venda Ativa
120,0000099230 - Venda Ativa
121,0000099236 - Venda Ativa
122,0000099229 - Venda Ativa
123,0000099239 - Venda Ativa
124,0000099227 - Venda Ativa
125,0000099235 - Venda Ativa
126,0000099228 - Venda Ativa
127,0000099233 - Venda Ativa
128,0000099221 - Venda Ativa
129,0000099222 - Venda Ativa
130,0000099077 - Venda Ativa
131,0000099220 - Venda Ativa
132,0000099195 - Venda Ativa
133,0000099162 - Venda Ativa
134,0000099161 - Venda Ativa
135,0000099194 - Venda Ativa
136,0000099197 - Venda Ativa
137,0000099164 - Venda Ativa
138,0000099196 - Venda Ativa
139,0000099163 - Venda Ativa
140,0000099199 - Venda Ativa
141,0000099166 - Venda Ativa
142,0000099198 - Venda Ativa
143,0000099165 - Venda Ativa
144,0000099201 - Venda Ativa
145,0000099200 - Venda Ativa
146,0000099167 - Venda Ativa
147,0000099155 - Venda Ativa
148,0000099187 - Venda Ativa
149,0000099154 - Venda Ativa
150,0000099186 - Venda Ativa
151,0000099157 - Venda Ativa
152,0000099189 - Venda Ativa
153,0000099156 - Venda Ativa
154,0000099188 - Venda Ativa
155,0000099191 - Venda Ativa
156,0000099158 - Venda Ativa
157,0000099190 - Venda Ativa
158,0000099160 - Venda Ativa
159,0000099193 - Venda Ativa
160,0000099159 - Venda Ativa
161,0000099192 - Venda Ativa
162,0000099118 - Venda Ativa
163,0000099152 - Venda Ativa
164,0000099153 - Venda Ativa
165,0000099185 - Venda Ativa
166,0000099184 - Venda Ativa
167,0000099178 - Venda Ativa
168,0000099145 - Venda Ativa
169,0000099177 - Venda Ativa
170,0000099144 - Venda Ativa
171,0000099180 - Venda Ativa
172,0000099117 - Venda Ativa
173,0000099147 - Venda Ativa
174,0000099179 - Venda Ativa
175,0000099146 - Venda Ativa
176,0000099182 - Venda Ativa
177,0000099149 - Venda Ativa
178,0000099181 - Venda Ativa
179,0000099148 - Venda Ativa
180,0000099151 - Venda Ativa
181,0000099183 - Venda Ativa
182,0000099150 - Venda Ativa
183,0000099076 - Venda Ativa
184,0000099218 - Venda Ativa
185,0000099219 - Venda Ativa
186,0000099213 - Venda Ativa
187,0000099212 - Venda Ativa
188,0000099215 - Venda Ativa
189,0000099214 - Venda Ativa
190,0000099217 - Venda Ativa
191,0000099216 - Venda Ativa
192,0000099173 - Venda Ativa
193,0000099211 - Venda Ativa
194,0000099210 - Venda Ativa
195,0000099203 - Venda Ativa
196,0000099202 - Venda Ativa
197,0000099168 - Venda Ativa
198,0000098891 - Venda Ativa
199,0000099205 - Venda Ativa
200,0000099204 - Venda Ativa
201,0000099170 - Venda Ativa
202,0000099207 - Venda Ativa
203,0000099169 - Venda Ativa
204,0000099206 - Venda Ativa
205,0000099172 - Venda Ativa
206,0000099209 - Venda Ativa
207,0000099171 - Venda Ativa
208,0000099208 - Venda Ativa
209,0000099108 - Venda Ativa
210,0000099107 - Venda Ativa
211,0000099110 - Venda Ativa
212,0000099109 - Venda Ativa
213,0000099111 - Venda Ativa
214,0000099102 - Venda Ativa
215,0000099103 - Venda Ativa
216,0000099106 - Venda Ativa
217,0000099105 - Venda Ativa
218,0000099137 - Venda Ativa
219,0000099115 - Venda Ativa
220,0000099136 - Venda Ativa
221,0000099139 - Venda Ativa
222,0000099138 - Venda Ativa
223,0000099127 - Venda Ativa
224,0000099174 - Venda Ativa
225,0000099141 - Venda Ativa
226,0000099140 - Venda Ativa
227,0000099176 - Venda Ativa
228,0000099143 - Venda Ativa
229,0000099175 - Venda Ativa
230,0000099116 - Venda Ativa
231,0000099142 - Venda Ativa
232,0000099129 - Venda Ativa
233,0000099128 - Venda Ativa
234,0000099131 - Venda Ativa
235,0000099130 - Venda Ativa
236,0000099133 - Venda Ativa
237,0000099114 - Venda Ativa
238,0000099132 - Venda Ativa
239,0000099135 - Venda Ativa
240,0000099134 - Venda Ativa
241,0000098883 - Venda Ativa
242,0000099113 - Venda Ativa
243,0000099126 - Venda Ativa
244,0000099119 - Venda Ativa
245,0000099121 - Venda Ativa
246,0000099066 - Venda Ativa
247,0000099120 - Venda Ativa
248,0000099123 - Venda Ativa
249,0000099112 - Venda Ativa
250,0000099122 - Venda Ativa
251,0000099125 - Venda Ativa
252,0000099124 - Venda Ativa
253,0000099063 - Venda Ativa
254,0000098877 - Venda Ativa
255,0000098873 - Venda Ativa
256,0000099060 - Venda Ativa
257,0000098871 - Venda Ativa
258,0000099268 - Venda Ativa
259,0000099266 - Venda Ativa
260,0000099274 - Venda Ativa
261,0000099267 - Venda Ativa
262,0000099275 - Venda Ativa
263,0000099272 - Venda Ativa
264,0000099264 - Venda Ativa
265,0000099273 - Venda Ativa
266,0000099265 - Venda Ativa
267,0000099271 - Venda Ativa
268,0000099263 - Venda Ativa
269,0000099087 - Venda Ativa
270,0000099278 - Venda Ativa
271,0000099086 - Venda Ativa
272,0000099276 - Venda Ativa
273,0000099277 - Venda Ativa
274,0000099262 - Venda Ativa
275,0000099243 - Venda Ativa
276,0000099249 - Venda Ativa
277,0000099255 - Venda Ativa
278,0000099082 - Venda Ativa
279,0000099256 - Venda Ativa
280,0000099247 - Venda Ativa
281,0000099242 - Venda Ativa
282,0000099081 - Venda Ativa
283,0000099248 - Venda Ativa
284,0000099246 - Venda Ativa
285,0000099245 - Venda Ativa
286,0000099241 - Venda Ativa
287,0000099261 - Venda Ativa
288,0000099254 - Venda Ativa
289,0000099259 - Venda Ativa
290,0000099252 - Venda Ativa
291,0000099269 - Venda Ativa
292,0000099260 - Venda Ativa
293,0000099253 - Venda Ativa
294,0000099270 - Venda Ativa
295,0000099250 - Venda Ativa
296,0000099258 - Venda Ativa
297,0000099251 - Venda Ativa
298,0000099257 - Venda Ativa
299,0000099613 - Venda Ativa
300,0000099608 - Venda Ativa
301,0000099605 - Venda Ativa
302,0000099599 - Venda Ativa
303,0000099471 - Venda Ativa
304,0000099476 - Venda Ativa
305,0000099459 - Venda Ativa
306,0000099811 - Venda Ativa
307,0000099800 - Venda Ativa
308,0000099801 - Venda Ativa
309,0000099799 - Venda Ativa
310,0000099798 - Venda Ativa
311,0000099803 - Venda Ativa
312,0000099797 - Venda Ativa
313,0000099840 - Venda Ativa
314,0000099663 - Venda Ativa
315,0000099667 - Venda Ativa
316,0000099657 - Venda Ativa
317,0000099642 - Venda Ativa
318,0000099643 - Venda Ativa
319,0000099633 - Venda Ativa
320,0000099635 - Venda Ativa
321,0000099618 - Venda Ativa
322,0000099629 - Venda Ativa
323,0000099537 - Venda Ativa
324,0000099538 - Venda Ativa
325,0000099529 - Venda Ativa
326,0000099527 - Venda Ativa
327,0000099524 - Venda Ativa
328,0000099696 - Venda Ativa
329,0000099579 - Venda Ativa
