_CustomObjectKey,id,HC_Codigo_de_Retorno_de_Erro__c,Descricao_do_Retorno_de_Erro__c
2,a0V6g0000062mHVEAY,AG,Agência/Conta Corrente/DV Inválido
3,a0V6g0000062mHWEAY,AG,Agência/Conta Corrente/DV Inválido
4,a0V6g0000062mHXEAY,AG,Agência/Conta Corrente/DV Inválido
5,a0V6g0000062mkCEAQ,AN,Conta Corrente/DV do Favorecido Inválido
6,a0V6g0000062mKvEAI,AT,Tipo/Número de Inscrição do Favorecido Inválido
7,a0V6g0000062mnaEAA,02,Crédito ou Débito Cancelado pelo Pagador/Credor
8,a0V6g0000062oUhEAI,AG,Agência/Conta Corrente/DV Inválido
9,a0V6g0000062ovoEAA,AG,Agência/Conta Corrente/DV Inválido
10,a0V6g0000062oXiEAI,02,Crédito ou Débito Cancelado pelo Pagador/Credor
11,a0V6g0000062oXjEAI,02,Crédito ou Débito Cancelado pelo Pagador/Credor
12,a0V6g0000062oxLEAQ,AG,Agência/Conta Corrente/DV Inválido
13,a0V6g0000062oxOEAQ,AT,Tipo/Número de Inscrição do Favorecido Inválido
14,a0V6g0000062oxqEAA,AL,Código do Banco Favorecido ou Depositário Inválido
15,a0V6g0000062oxREAQ,AT,Tipo/Número de Inscrição do Favorecido Inválido
16,a0V6g0000062p5eEAA,02,Crédito ou Débito Cancelado pelo Pagador/Credor
17,a0V6g0000062p6bEAA,AN,Conta Corrente/DV do Favorecido Inválido
18,a0V6g0000062qz6EAA,AN,Conta Corrente/DV do Favorecido Inválido
19,a0V6g0000062qZAEAY,AN,Conta Corrente/DV do Favorecido Inválido
20,a0V6g0000062qzoEAA,AL,Código do Banco Favorecido ou Depositário Inválido
21,a0V6g0000062r0zEAA,AC,Tipo de Serviço Inválido
22,a0V6g0000062r10EAA,AC,Tipo de Serviço Inválido
23,a0V6g0000062r11EAA,AC,Tipo de Serviço Inválido
24,a0V6g0000062r12EAA,AC,Tipo de Serviço Inválido
25,a0V6g0000062r6GEAQ,AG,Agência/Conta Corrente/DV Inválido
26,a0V6g0000062racEAA,AN,Conta Corrente/DV do Favorecido Inválido
27,a0V6g0000062radEAA,AN,Conta Corrente/DV do Favorecido Inválido
28,a0V6g0000062raeEAA,AN,Conta Corrente/DV do Favorecido Inválido
29,a0V6g0000062rakEAA,AN,Conta Corrente/DV do Favorecido Inválido
30,a0V6g0000062ralEAA,AN,Conta Corrente/DV do Favorecido Inválido
31,a0V6g0000062rbFEAQ,AN,Conta Corrente/DV do Favorecido Inválido
32,a0V6g0000062tGSEAY,AN,Conta Corrente/DV do Favorecido Inválido
