_CustomObjectKey,ID_PAGAMENTO,ID_PROPOSTA,ID_PLANO,DATA_ULT_AGENDAMENTO,DESC_STATUS_PAGAMENTO
1491574,27758452,27369483,"PU362 ",09/08/2016,Bloqueado
1491575,27758454,27369485,"PU362 ",09/08/2016,Bloqueado
1491576,26452295,26148914,"PU363 ",19/04/2016,Bloqueado
1491577,26985056,26557364,"PU362 ",07/06/2016,Bloqueado
1491578,26995826,26685599,"PU361 ",07/06/2016,Bloqueado
1491579,27659684,27275880,"PU362 ",29/07/2016,Bloqueado
1491580,27670052,24492436,"PM48M ",01/08/2016,Bloqueado
1491581,27674612,27143931,"PU362 ",01/08/2016,Bloqueado
1491582,27549649,27189659,"PU364 ",18/07/2016,Bloqueado
1491583,27576627,31848479,"PU368 ",18/07/2016,Bloqueado
1491584,27576628,31848480,"PU368 ",18/07/2016,Bloqueado
1491585,27562971,32496692,"PM604 ",15/07/2016,Bloqueado
1491586,27563967,33211809,"PM604 ",15/07/2016,Bloqueado
1491587,30151796,23782137,"PM72P ",16/02/2017,Bloqueado
1491588,28511488,27928358,"PU362 ",11/10/2016,Bloqueado
1491589,30934444,29746080,"PU362 ",24/04/2017,Bloqueado
1491590,30938679,29734487,"PU363 ",24/04/2017,Bloqueado
1491591,30939676,29745773,"PU362 ",24/04/2017,Bloqueado
1491592,31778184,34170797,"PU481 ",26/06/2017,Bloqueado
1491593,30933574,29626013,"PU362 ",24/04/2017,Bloqueado
1491594,30940938,29722611,"PU361 ",24/04/2017,Bloqueado
1491595,31822761,28776242,"PM601 ",28/06/2017,Bloqueado
1491596,31823157,37370820,"PU36C ",27/10/2017,Bloqueado
1491597,30932582,29735743,"PU362 ",24/04/2017,Bloqueado
1491598,30933673,29692717,"PU361 ",24/04/2017,Bloqueado
1491599,31423267,35597153,"PM484 ",30/05/2017,Bloqueado
1491600,31284963,30057366,"PU364 ",22/05/2017,Bloqueado
1491601,31284980,30057588,"PU364 ",22/05/2017,Bloqueado
1491602,31288132,30085531,"PU362 ",22/05/2017,Bloqueado
1491603,31290220,30037810,"PU362 ",22/05/2017,Bloqueado
1491604,31294440,30084706,"PU364 ",22/05/2017,Bloqueado
1491605,30989310,29740244,"PU365 ",27/04/2017,Bloqueado
1491606,31286050,30065053,"PU361 ",22/05/2017,Bloqueado
1491607,31287105,30076582,"PU362 ",22/05/2017,Bloqueado
1491608,31287114,30076612,"PU363 ",22/05/2017,Bloqueado
1491609,31287150,30077004,"PU362 ",22/05/2017,Bloqueado
1491610,31287156,30077018,"PU362 ",22/05/2017,Bloqueado
1491611,31291372,30056876,"PU362 ",22/05/2017,Bloqueado
1491612,31292417,30064985,"PU361 ",22/05/2017,Bloqueado
