_CustomObjectKey,Name,HC_PROPOSTA__C
2,11790737,5265201
3,11774320,5912157
4,11753294,6623193
5,11773913,4557661
6,11774005,6885909
7,11767389,3384204
8,11810174,6791219
9,11749528,7879970
10,11783920,5501288
11,11800869,7998113
12,11757278,14861183
13,11763320,14873871
14,11774152,14886419
15,11808444,3817397
16,11785037,11688410
17,11782370,11779309
18,11763506,14765227
19,11773199,14785893
20,11778264,14752388
21,11809237,14768357
22,11816123,14743089
23,11773530,11824033
24,11748077,14649787
25,11770460,12106364
26,11782680,14285014
27,11798534,14274678
28,11818686,14408802
29,11796585,14424356
30,11798790,14443659
31,11804681,14459689
32,11786429,14703943
33,11749529,9845522
34,11822243,14837741
35,11824968,11891021
36,11973440,12064038
37,11992037,14791748
38,12030217,15159065
39,12046110,12164384
40,11773466,8873168
41,12254905,14394837
42,12276895,13584516
43,12217410,15274739
44,12131871,12309340
45,12485338,12710097
46,11771289,8770620
47,11810746,12534697
48,12578013,12771751
49,12738938,12124214
50,11749422,13275024
51,11760216,12888107
52,12554935,12809066
53,12739530,11967482
54,12971341,13368045
55,12973947,15854232
56,12899287,13294081
57,13061167,16316934
58,12899267,13293582
59,13084001,16334913
60,13085205,16301863
61,13096788,16340565
62,13098607,16321489
63,11800214,14260794
64,13105166,16395537
65,13107695,16403861
66,13127903,16423623
67,11910810,14489918
68,11911519,14489925
69,11912667,14489921
70,11912668,14489922
71,13173698,16459062
72,13178388,16459846
73,13219119,16434346
74,13220437,16528653
75,13220647,16530342
76,13223361,16487542
77,13237027,16561601
78,13238987,16488999
79,13246631,16473584
80,13250520,16529362
81,13260731,16583621
82,13206338,13670770
83,13267020,16585800
84,13269116,16516168
85,13269406,16511074
86,13284069,16619041
87,13285068,16501033
88,13285871,16491708
89,13289311,16615928
90,13315211,16646496
91,13174669,16477638
92,13343347,16558336
93,13343413,16650632
94,11766073,13477065
95,13369721,16640275
96,13372913,16634545
97,13381142,16676201
98,12170705,15218751
99,12933687,16146387
100,13389483,16622678
101,13391974,16617431
102,13393005,16741364
103,13401864,16692137
104,13357196,13825840
105,13417543,16673310
106,13439811,16726548
107,13440413,16810995
108,13266989,16536148
109,13070347,13469086
110,13466272,16819072
111,13483783,16886115
112,13484082,16826705
113,13484336,16850798
114,13489382,16793312
115,13490501,16877228
116,13494657,16901685
117,13500769,16890635
118,13503186,16798698
119,13505632,16833597
120,13509119,16796284
121,13511813,16873342
122,13514022,16764112
123,13504445,14010724
124,13515141,16928772
125,13520037,16921692
126,13529018,16956310
127,13535714,16968553
128,13536140,16925920
129,13551176,16838175
130,13582545,17009671
131,13582793,16901394
132,13582898,16989074
133,13593282,16944938
134,13593595,16980640
135,13593891,17017187
136,13595040,16941286
137,13595757,16916307
138,13595911,17010078
139,13603224,16924748
140,13603789,17033213
141,13541200,16246354
142,13619089,17097177
143,13628430,17022323
144,13629926,16969073
145,13599701,15248946
146,13645659,16976632
147,13654825,17064641
148,13671190,17017983
149,13675154,17171601
150,13678546,17176555
151,13678555,17176850
152,13682630,17049663
153,13683760,17053629
154,13691414,17106166
155,13691731,17154046
156,13692236,17092757
157,13693344,17071102
158,13702241,17160938
159,13209031,13593252
160,13715516,17114907
161,13715603,17124631
162,13716974,17188283
163,13709503,14230133
164,13732120,17239511
165,13732836,17242911
166,13736734,17248777
167,13740210,17248157
168,13756277,17277086
169,13757943,17276954
170,13760227,16419467
171,13764821,17266148
172,13738991,17184428
173,13779613,17195767
174,13779717,17202615
175,13780516,17284270
176,13780542,17286036
