_CustomObjectKey,ID_TITULO,ID_SERIE,ID_PLANO,DATA_SORTEIO
413901,158978,AA,"A48PM ",2021-02-03
413902,171580,AA,"A48PM ",2021-02-03
413903,154657,AA,"D60PM ",2021-02-03
413904,161206,AA,"B48PM ",2021-02-03
413905,156692,AA,"A60PM ",2021-02-03
413906,163709,AA,"A60PM ",2021-02-03
413907,172932,AA,"A60PM ",2021-02-03
413908,169830,AA,"A48PM ",2021-02-03
413909,171081,AA,"A48PM ",2021-02-03
413910,460796,AA,"PM483 ",2021-07-03
413911,166995,AA,"A48PM ",2021-02-03
413912,168321,AA,"A60PM ",2021-02-03
413913,179573,AA,"D60PM ",2021-02-03
413914,158652,AA,"A60PM ",2021-02-03
413915,176333,AA,"A60PM ",2021-02-03
413916,7571,AA,"A48PM ",2021-08-04
413917,3399,AA,"C48PM ",2021-08-04
413918,410130,AA,"PM488 ",2021-07-03
413919,4473,AA,"C48PM ",2021-08-04
413920,4755,AA,"C48PM ",2021-08-04
413921,15990,AA,"C48PM ",2021-08-04
413922,290868,AA,"A60PM ",2021-08-04
413923,604569,AA,"PM483 ",2021-07-03
413924,5705,AA,"A60PM ",2021-08-04
413925,20290,AA,"D60PM ",2021-08-04
413926,146902,AA,"PMC48 ",2021-08-04
413927,144453,AA,"PMB48 ",2021-08-04
413928,171361,AC,"PU36C ",2021-07-03
413929,158942,AA,"PM363 ",2021-07-03
413930,164952,AA,"PM363 ",2021-07-03
413931,14115,AA,"D48PM ",2021-08-04
413932,143733,AA,"PMA48 ",2021-08-04
413933,53009,AA,"A36PU ",2021-08-04
413934,22439,AA,"A48PM ",2021-08-04
413935,553094,AA,"PM485 ",2021-07-03
413936,587894,AA,"PM488 ",2021-07-03
413937,546366,AA,"PM489 ",2021-07-03
413938,137104,AA,"PMA48 ",2021-08-04
413939,255427,AA,"PM488 ",2021-10-02
413940,151979,AA,"PM363 ",2021-07-03
413941,276256,AA,"PM483 ",2021-10-02
413942,474325,AA,"PM488 ",2021-07-03
413943,16579,AA,"PM606 ",2021-07-03
