_CustomObjectKey,ID_TITULO,ID_SERIE,ID_PLANO,ID_TITULO_SALESFORCE,DATA_SORTEIO
22794,84379,AA,"B60PM ",a0o6g000005g9I2AAI,2022-01-05
22795,2871,AB,"A60PM ",a0o6g000005heMoAAI,2021-08-04
22796,394348,AA,"PM483 ",a0o6g000005c7EIAAY,2022-01-01
22797,19555,AA,"A60PM ",a0o6g000005h7RtAAI,2021-08-04
22798,571488,AA,"PM48I ",a0o6g000005hQpKAAU,2021-07-03
22799,93204,AA,"B48PM ",a0o6g000005deUGAAY,2022-01-05
22800,467313,AA,"PM489 ",a0o6g000005eS7yAAE,2021-07-03
22801,469336,AA,"PM483 ",a0o6g000005d8BRAAY,2021-08-07
22802,401762,AA,"PM489 ",a0o6g000005dsq5AAA,2021-07-03
22803,524854,AA,"PM48H ",a0o6g000005u9o8AAA,2021-12-04
22804,41816,AA,"E60PM ",a0o6g000005ec9iAAA,2022-01-05
22805,30578,AA,"A60PM ",a0o6g000005giaUAAQ,2021-11-03
22806,42116,AA,"A60PM ",a0o6g000005gwdDAAQ,2021-11-03
22807,40445,AA,"C48PM ",a0o6g000005koztAAA,2021-11-03
22808,21525,AA,"A60PM ",a0o6g000005hFybAAE,2021-08-04
22809,45666,AA,"A48PM ",a0o6g000005lC1DAAU,2021-11-03
22810,80409,AA,"A60PM ",a0o6g000005hy2hAAA,2022-01-05
22811,58751,AA,"PMA48 ",a0o6g000005iDi2AAE,2021-12-01
22812,473439,AA,"PM483 ",a0o6g000005tLDNAA2,2021-08-21
22813,1756,AB,"A60PM ",a0o6g000005jENRAA2,2022-01-05
22814,296996,AA,"PM488 ",a0o6g000005jH7JAAU,2021-08-07
22815,92086,AA,"PM486 ",a0o6g000005njUvAAI,2021-10-02
22816,516960,AA,"PM488 ",a0o6g000005tQCGAA2,2021-12-04
22817,9721,AA,"A36PM ",a0o6g000005oQEbAAM,2021-08-04
22818,87787,AA,"C48PM ",a0o6g000005orDzAAI,2022-01-05
22819,40814,AA,"A60PM ",a0o6g000005paH9AAI,2021-11-03
22820,386814,AA,"PM48O ",a0o6g000005nVMCAA2,2022-01-01
22821,303249,AA,"A60PM ",a0o6g000005nVmuAAE,2021-07-07
22822,16235,AA,"A60PM ",a0o6g000005qRgCAAU,2021-08-04
22823,75368,AA,"A60PM ",a0o6g000005oSGbAAM,2022-01-05
22824,210588,AA,"A48PM ",a0o6g000005bvlpAAA,2021-10-06
22825,393752,AA,"PM488 ",a0o6g000005rJcGAAU,2021-08-07
22826,55784,AA,"A60PM ",a0o6g000005rSiPAAU,2022-01-05
22827,412371,AA,"PM488 ",a0o6g000005pHTnAAM,2021-07-03
22828,87602,AA,"A48PM ",a0o6g000005rcTzAAI,2022-01-05
22829,286361,AA,"A48PM ",a0o6g000005uCR3AAM,2021-12-01
22830,233999,AA,"A60PM ",a0o6g000005sagPAAQ,2021-10-06
22831,554955,AA,"PM483 ",a0o6g000005eKrtAAE,2021-12-04
22832,20777,AA,"PM607 ",a0o6g000005eN8LAAU,2021-10-02
22833,4692,AB,"A60PM ",a0o6g000005ecYUAAY,2021-08-04
22834,102435,AA,"PM60C ",a0o6g000005edWmAAI,2021-07-07
22835,25912,AA,"PMA48 ",a0o6g000005fZRpAAM,2021-07-07
22836,38377,AA,"PMC60 ",a0o6g000005i07GAAQ,2021-12-01
22837,91613,AA,"PMC60 ",a0o6g000005iPltAAE,2021-08-04
22838,218012,AA,"A60PM ",a0o6g000005rbCzAAI,2021-09-01
22839,241586,AA,"A48PM ",a0o6g000005rzxqAAA,2021-07-07
22840,47425,AA,"PM606 ",a0o6g000005lIbOAAU,2021-07-03
22841,549203,AA,"PM489 ",a0o6g000005mTs3AAE,2021-12-04
22842,370227,AA,"PM483 ",a0o6g000005u6dSAAQ,2022-01-01
22843,132268,AA,"PMA48 ",a0o6g000005muUbAAI,2021-12-01
22844,19527,AA,"PMC60 ",a0o6g000005v7F5AAI,2021-07-07
22845,44738,AA,"A60PM ",a0o6g0000066aGSAAY,2022-01-05
22846,87981,AA,"A48PM ",a0o6g000005cOGsAAM,2022-01-05
22847,8007,AA,"A48PM ",a0o6g000005vl0iAAA,2021-08-04
22848,53535,AA,"PM60C ",a0o6g000005cYhCAAU,2021-07-07
22849,36146,AA,"PME60 ",a0o6g000005wDy4AAE,2021-12-01
22850,394658,AA,"PM48G ",a0o6g000005pGyUAAU,2022-01-01
22851,432794,AA,"PM485 ",a0o6g0000065qIEAAY,2022-01-01
22852,21387,AA,"48PMA ",a0o6g0000066imkAAA,2021-07-07
22853,276256,AA,"PM483 ",a0o6g000005pbGXAAY,2021-10-02
22854,71348,AA,"E48PM ",a0o6g000005dOE3AAM,2022-01-05
22855,45947,AA,"A60PM ",a0o6g000005qMl2AAE,2022-01-05
22856,397757,AA,"PM486 ",a0o6g000005r0PeAAI,2022-01-01
22857,372185,AA,"PM489 ",a0o6g000005qkw5AAA,2022-01-01
22858,53309,AA,"PMA48 ",a0o6g000005eXp0AAE,2021-12-01
22859,24944,AA,"48PMA ",a0o6g000005ecQQAAY,2021-07-07
22860,55388,AA,"D48PM ",a0o6g000005s7dpAAA,2021-11-03
22861,72055,AA,"PM60C ",a0o6g000005s9LOAAY,2021-07-07
22862,131205,AA,"PME48 ",a0o6g0000068iUBAAY,2021-08-04
22863,546905,AA,"PM489 ",a0o6g000005fAPrAAM,2021-12-04
22864,38101,AA,"D48PM ",a0o6g000005f2omAAA,2021-11-03
22865,133124,AA,"PMA48 ",a0o6g000005tEmjAAE,2021-12-01
22866,124080,AA,"PMN48 ",a0o6g000005ylB9AAI,2021-12-01
22867,92669,AA,"PME60 ",a0o6g000005tJYzAAM,2021-08-04
22868,314663,AA,"PUA36 ",a0o6g000006A1QiAAK,2021-12-01
22869,228183,AA,"A60PM ",a0o6g000006AGGBAA4,2021-09-01
22870,90055,AA,"PMC60 ",a0o6g000005fo98AAA,2021-08-04
22871,40023,AA,"D60PM ",a0o6g000005fqBkAAI,2021-11-03
22872,77165,AA,"PM60C ",a0o6g000005gB1GAAU,2021-07-07
22873,88286,AA,"PMA48 ",a0o6g000005uq60AAA,2021-12-01
22874,100976,AA,"A48PM ",a0o6g000005gF4LAAU,2022-01-05
22875,48905,AA,"A60PM ",a0o6g000006Az5OAAS,2022-01-05
22876,5851,AA,"B60PM ",a0o6g000005g3tEAAQ,2021-08-04
22877,21021,AA,"A36PM ",a0o6g000005gEHPAA2,2022-01-05
22878,82440,AA,"A60PM ",a0o6g000005yt3AAAQ,2022-01-05
22879,386733,AA,"PM483 ",a0o6g000005gdIRAAY,2022-01-01
22880,112459,AA,"PMI48 ",a0o6g000005vR2kAAE,2021-12-01
22881,31457,AA,"PM60E ",a0o6g000005hI0pAAE,2021-07-07
22882,48487,AA,"PMD60 ",a0o6g000005hNVYAA2,2021-12-01
22883,10765,AA,"PMC60 ",a0o6g000006CPeGAAW,2021-07-07
22884,453214,AA,"PM48I ",a0o6g000005hHNyAAM,2021-08-07
22885,24316,AA,"PM607 ",a0o6g000006ClszAAC,2021-12-04
22886,8613,AA,"PMG60 ",a0o6g000006Cr6jAAC,2021-07-07
22887,17901,AA,"A60PM ",a0o6g000006DIg7AAG,2021-08-04
22888,106843,AA,"A48PM ",a0o6g000005i3pLAAQ,2022-01-05
22889,19954,AA,"PMC60 ",a0o6g000005i55tAAA,2021-07-07
22890,211431,AA,"A60PM ",a0o6g000005yBK9AAM,2021-10-06
22891,498937,AA,"PM483 ",a0o6g000005iHxzAAE,2021-12-04
22892,457624,AA,"PM483 ",a0o6g000005iDq1AAE,2021-08-07
22893,34072,AA,"D60PM ",a0o6g000006EhLXAA0,2021-11-03
22894,88881,AA,"A48PM ",a0o6g000005idqiAAA,2022-01-05
22895,560754,AA,"PM486 ",a0o6g000005inI8AAI,2021-07-03
22896,240637,AA,"A48PM ",a0o6g00000641unAAA,2021-07-07
22897,563422,AA,"PM486 ",a0o6g0000060uUOAAY,2021-12-18
22898,407444,AA,"PM488 ",a0o6g0000061kngAAA,2022-01-01
22899,19037,AA,"PM607 ",a0o6g000005k6gRAAQ,2021-08-07
22900,590753,AA,"PM488 ",a0o6g000005jmGPAAY,2021-07-03
22901,230676,AA,"A60PM ",a0o6g000005kfxDAAQ,2021-09-01
22902,60633,AA,"A60PM ",a0o6g00000616YcAAI,2022-01-05
22903,78133,AA,"F48PM ",a0o6g0000063LCdAAM,2021-11-03
22904,37233,AA,"A36PM ",a0o6g0000061JynAAE,2021-10-06
22905,195874,AA,"A48PM ",a0o6g0000061V9qAAE,2021-10-06
22906,20652,AA,"A60PM ",a0o6g000006DBdxAAG,2021-08-04
22907,56109,AA,"PML48 ",a0o6g000005kdHqAAI,2021-12-01
22908,240332,AA,"A60PM ",a0o6g0000063zWuAAI,2021-09-01
22909,93182,AA,"PMA48 ",a0o6g000005zBW5AAM,2021-12-01
22910,18964,AA,"PM605 ",a0o6g0000066HM2AAM,2021-08-07
22911,473128,AA,"PM483 ",a0o6g000005zFDfAAM,2022-01-01
22912,439692,AA,"PM486 ",a0o6g0000066lVAAAY,2022-01-01
22913,316063,AA,"PUA36 ",a0o6g0000066NL0AAM,2021-12-01
22914,617438,AA,"PM48G ",a0o6g000006FPzCAAW,2021-07-03
22915,379399,AA,"PM483 ",a0o6g000005m1NzAAI,2021-08-07
22916,24791,AA,"PM606 ",a0o6g000006GD7IAAW,2022-01-15
22917,48660,AA,"B48PM ",a0o6g000006FaeVAAS,2021-11-03
22918,615504,AA,"PM488 ",a0o6g00000689klAAA,2021-07-03
22919,27456,AA,"PME60 ",a0o6g000006GhFdAAK,2021-07-07
22920,122100,AA,"PMI48 ",a0o6g0000068caNAAQ,2021-12-01
22921,467354,AA,"PM486 ",a0o6g0000068PhhAAE,2022-01-01
22922,72523,AA,"PMD48 ",a0o6g0000068f4oAAA,2021-12-01
22923,84550,AA,"A60PM ",a0o6g000005miakAAA,2022-01-05
22924,112932,AA,"PMN48 ",a0o6g000005mUUIAA2,2021-12-01
22925,262622,AA,"F48PM ",a0o6g000006IsqwAAC,2021-07-07
22926,93402,AA,"PMD60 ",a0o6g0000069HbBAAU,2021-12-01
22927,51542,AA,"48PMA ",a0o6g0000069tdwAAA,2021-07-07
22928,211651,AA,"A60PM ",a0o6g000005n2yIAAQ,2021-10-06
22929,536700,AA,"PM48I ",a0o6g000005sCF4AAM,2021-12-04
22930,455540,AA,"PM489 ",a0o6g000006AdsIAAS,2022-01-01
22931,223439,AA,"A60PM ",a0o6g000006BTFzAAO,2021-09-01
22932,459334,AA,"PM488 ",a0o6g000006MtIDAA0,2022-01-01
22933,10490,AA,"PMA48 ",a0o6g000005nVkDAAU,2021-07-07
22934,11400,AA,"PMC60 ",a0o6g000005nwvkAAA,2021-07-07
22935,18543,AA,"PM606 ",a0o6g000006BOGHAA4,2022-01-01
22936,467989,AA,"PM483 ",a0o6g000006N6fEAAS,2021-07-03
22937,105586,AA,"PMD48 ",a0o6g000006BtWYAA0,2021-12-01
22938,73320,AA,"A48PM ",a0o6g000005o2XCAAY,2022-01-05
22939,81579,AA,"PMF48 ",a0o6g000005oAp0AAE,2021-12-01
22940,168467,AA,"PM363 ",a0o6g000006CgQ9AAK,2021-07-03
