_CustomObjectKey,ID_TITULO,ID_PLANO,ID_SERIE,CLASSIFICACAO,DT_INICIO_VIGENCIA,DATA_BAIXA,STATUS,DATA_REGISTRO_ESTORNO,DATA_REGISTRO_OBITO
138314032,28013,"48PMA ",AA,INATIVO,25/02/2019,06/09/2022 00:38:52,B,,
138314033,51313,"PM60C ",AA,ATIVO,25/02/2019,,A,,
138314034,28014,"48PMA ",AA,ATIVO,25/02/2019,,F,,
138314035,51319,"PM60C ",AA,ATIVO,25/02/2019,,A,,
138314036,51321,"PM60C ",AA,ATIVO,25/02/2019,,A,,
138314037,28016,"48PMA ",AA,ATIVO,25/02/2019,,F,,
138314038,51323,"PM60C ",AA,ATIVO,25/02/2019,,A,,
138314039,51324,"PM60C ",AA,ATIVO,25/02/2019,,A,,
138314040,51329,"PM60C ",AA,ATIVO,25/02/2019,,A,,
138314041,51331,"PM60C ",AA,ATIVO,25/02/2019,,A,,
138314042,51334,"PM60C ",AA,ATIVO,25/02/2019,,A,,
138314043,51335,"PM60C ",AA,ATIVO,25/02/2019,,A,,
138314044,51336,"PM60C ",AA,ATIVO,25/02/2019,,A,,
138314045,150433,"PU48F ",AA,ATIVO,20/03/2019,,A,,
138314046,150434,"PU48F ",AA,ATIVO,20/03/2019,,A,,
138314047,150435,"PU48F ",AA,ATIVO,20/03/2019,,A,,
138314048,150436,"PU48F ",AA,ATIVO,20/03/2019,,A,,
138314049,150437,"PU48F ",AA,ATIVO,20/03/2019,,A,,
138314050,150438,"PU48F ",AA,ATIVO,20/03/2019,,A,,
138314051,150439,"PU48F ",AA,ATIVO,20/03/2019,,A,,
138314052,150440,"PU48F ",AA,ATIVO,20/03/2019,,A,,
138314053,150441,"PU48F ",AA,ATIVO,20/03/2019,,A,,
138314054,150442,"PU48F ",AA,ATIVO,20/03/2019,,A,,
138314055,150443,"PU48F ",AA,ATIVO,20/03/2019,,A,,
138314056,150446,"PU48A ",AA,ATIVO,20/03/2019,,A,,
138314057,150447,"PU48A ",AA,ATIVO,20/03/2019,,A,,
138314058,150448,"PU48A ",AA,ATIVO,20/03/2019,,A,,
138314059,150449,"PU48A ",AA,ATIVO,20/03/2019,,A,,
138314060,150450,"PU48A ",AA,ATIVO,20/03/2019,,A,,
138314061,150451,"PU48A ",AA,ATIVO,20/03/2019,,A,,
138314062,150452,"PU48A ",AA,ATIVO,20/03/2019,,A,,
138314063,150453,"PU48A ",AA,ATIVO,20/03/2019,,A,,
138314064,150454,"PU48A ",AA,ATIVO,20/03/2019,,A,,
138314065,150456,"PU48A ",AA,ATIVO,20/03/2019,,A,,
138314066,150458,"PU48G ",AA,ATIVO,20/03/2019,,A,,
138314067,150459,"PU48A ",AA,ATIVO,20/03/2019,,A,,
138314068,150460,"PU48F ",AA,ATIVO,20/03/2019,,A,,
138314069,150461,"PU48F ",AA,ATIVO,20/03/2019,,A,,
138314070,150462,"PU48F ",AA,ATIVO,20/03/2019,,A,,
138314071,150464,"PU48F ",AA,ATIVO,20/03/2019,,A,,
138314072,150476,"PU48F ",AA,ATIVO,20/03/2019,,A,,
138314073,150477,"PU48A ",AA,ATIVO,20/03/2019,,A,,
