_CustomObjectKey,STATUS,ID_TITULO,ID_PLANO,ID_SERIE
15585102,A,51313,"PM60C ",AA
15585103,A,51319,"PM60C ",AA
15585104,A,51321,"PM60C ",AA
15585105,A,51323,"PM60C ",AA
15585106,A,51324,"PM60C ",AA
15585107,A,51329,"PM60C ",AA
15585108,A,51331,"PM60C ",AA
15585109,A,51334,"PM60C ",AA
15585110,A,51336,"PM60C ",AA
15585111,A,77563,"PM60C ",AA
15585112,A,77573,"PM60C ",AA
15585113,A,77574,"PM60D ",AA
15585114,A,77576,"PM60C ",AA
15585115,A,77583,"PM60E ",AA
15585116,A,77584,"PM60E ",AA
15585117,A,77585,"PM60E ",AA
15585118,A,77589,"PM60E ",AA
15585119,A,77590,"PM60F ",AA
15585120,A,77591,"PM60E ",AA
15585121,A,77858,"PM60C ",AA
15585122,A,77863,"PM60C ",AA
15585123,A,77864,"PM60D ",AA
15585124,A,77868,"PM60C ",AA
15585125,A,77870,"PM60C ",AA
15585126,A,78144,"PM60C ",AA
15585127,A,78148,"PM60D ",AA
15585128,A,78398,"PM60C ",AA
15585129,A,78399,"PM60C ",AA
15585130,A,78408,"PM60C ",AA
15585131,A,78412,"PM60C ",AA
15585132,A,78416,"PM60C ",AA
15585133,A,46219,"48PMA ",AA
15585134,A,78424,"PM60C ",AA
15585135,A,78708,"PM60C ",AA
15585136,A,78714,"PM60C ",AA
15585137,A,78715,"PM60C ",AA
15585138,A,78716,"PM60C ",AA
15585139,A,78717,"PM60C ",AA
15585140,A,78718,"PM60C ",AA
15585141,A,78719,"PM60C ",AA
15585142,A,78720,"PM60C ",AA
15585143,A,78721,"PM60C ",AA
15585144,A,78725,"PM60C ",AA
15585145,A,78726,"PM60C ",AA
15585146,A,49177,"PM60E ",AA
15585147,A,49178,"PM60E ",AA
15585148,A,49179,"PM60E ",AA
15585149,A,49180,"PM60E ",AA
15585150,A,49181,"PM60E ",AA
15585151,A,49184,"PM60E ",AA
15585152,A,49185,"PM60E ",AA
15585153,A,49186,"PM60E ",AA
15585154,A,49187,"PM60E ",AA
15585155,A,49188,"PM60E ",AA
15585156,A,49189,"PM60E ",AA
15585157,A,49190,"PM60E ",AA
15585158,A,49191,"PM60E ",AA
15585159,A,49192,"PM60E ",AA
15585160,A,49193,"PM60E ",AA
15585161,A,49195,"PM60E ",AA
15585162,A,49198,"PM60E ",AA
15585163,A,49199,"PM60E ",AA
15585164,A,49200,"PM60E ",AA
15585165,A,49201,"PM60E ",AA
15585166,A,49202,"PM60E ",AA
15585167,A,49203,"PM60E ",AA
15585168,A,49206,"PM60C ",AA
15585169,A,26901,"48PMA ",AA
15585170,A,26903,"48PMA ",AA
15585171,A,49475,"PM60C ",AA
15585172,A,49476,"PM60D ",AA
15585173,A,49478,"PM60C ",AA
15585174,A,49480,"PM60C ",AA
15585175,A,49488,"PM60C ",AA
15585176,A,49489,"PM60C ",AA
15585177,A,49881,"PM60C ",AA
15585178,A,49888,"PM60C ",AA
15585179,A,49889,"PM60C ",AA
15585180,A,49892,"PM60D ",AA
15585181,A,49893,"PM60C ",AA
15585182,A,49894,"PM60C ",AA
15585183,A,50269,"PM60C ",AA
15585184,A,50272,"PM60C ",AA
15585185,A,50287,"PM60C ",AA
15585186,A,27742,"48PMA ",AA
15585187,A,50293,"PM60C ",AA
15585188,A,50298,"PM60C ",AA
15585189,A,50301,"PM60C ",AA
15585190,A,50807,"PM60C ",AA
15585191,A,50816,"PM60C ",AA
15585192,A,50818,"PM60C ",AA
15585193,A,50819,"PM60C ",AA
15585194,A,50822,"PM60C ",AA
15585195,A,50830,"PM60C ",AA
15585196,A,51340,"PM60C ",AA
15585197,A,51353,"PM60C ",AA
15585198,A,51362,"PM60C ",AA
15585199,A,51364,"PM60C ",AA
15585200,A,77593,"PM60G ",AA
15585201,A,77594,"PM60E ",AA
15585202,A,77595,"PM60E ",AA
15585203,A,77596,"PM60E ",AA
15585204,A,77597,"PM60E ",AA
15585205,A,77598,"PM60E ",AA
15585206,A,77599,"PM60E ",AA
