_CustomObjectKey,id_titulo,id_plano,id_serie
16267916,100033,"PU368 ",AD
16267917,100072,"PM48E ",ED
16267918,100266,"PU36A ",IB
16267919,100370,"PP60  ",WA
16267920,100385,"PM60  ",LA
16267921,10041,"PU36A ",IC
16267922,100438,"PM06H ",RA
16267923,100484,"PM60  ",LC
16267924,1005,PU001T,AA
16267925,10053,PUQR14,AA
16267926,100534,"PU36A ",IB
16267927,10063,"PM48  ",GA
16267929,100655,"B48PU ",AA
16267930,10068,"PM36A ",CP
16267931,100682,"A48PM ",AB
16267932,100716,"PM48M ",OE
16267933,100731,"PM60  ",LE
16267935,100791,"PU481 ",AA
16267937,100794,"PU481 ",AA
16267939,100796,"PU481 ",AA
16267940,100859,"PM60  ",LE
16267941,100877,"PM48B ",HA
16267942,10118,"PM60  ",LB
16267943,10119,"PM60  ",LB
16267944,101194,"PU24A ",EA
16267945,10120,"PU24A ",EA
16267946,101200,"A48PU ",AA
16267947,10121,"PM60  ",LA
16267948,101210,"PU36O ",AH
16267949,10137,"PM36A ",CO
16267950,101380,"D36PU ",AA
16267951,101386,"PM48E ",ED
16267952,101465,"PM48M ",OI
16267954,101508,"PM604 ",AA
16267955,101554,"PM48M ",OK
16267956,10161,"PU24W ",AB
16267957,101650,"PU36A ",IB
16267958,10172,"PU24A ",EA
16267959,101750,"PUD36 ",AA
16267960,1018,PUDB22,AA
16267961,10182,"PU24A ",EA
16267962,10195,"PP60M ",AA
16267963,10199,"PU24A ",EA
16267964,102073,"PM48E ",ED
16267965,102143,"PM48M ",OK
16267966,10227,"PM36A ",CX
16267967,102281,"PU36  ",MA
16267968,102372,"PU24A ",EA
16267970,102510,"PU48H ",AA
16267972,102511,"PU48H ",AA
16267973,102547,"PU36C ",AA
16267974,1026474,"PU12C ",AA
16267975,102662,"PP93R ",AA
16267976,102677,"PMG48 ",AA
16267977,102695,"PU368 ",AD
16267978,1027,PUQB11,AA
16267979,102702,"PU369 ",AC
16267980,102706,"PU369 ",AC
16267981,10272,"PU36A ",IB
16267982,102767,"PM48M ",OC
16267984,102769,"PU368 ",AF
16267985,102789,"PU36R ",TM
16267986,102894,"PU48B ",AA
16267987,102945,"PU36M ",SA
16267988,10309,"PU24A ",EA
16267989,103090,"PM60  ",LE
16267990,103272,"PU36M ",SA
16267991,103285,"PM60  ",LE
16267992,103300,"PM48M ",OI
16267993,103327,"PM60  ",LE
16267994,103339,"PM60  ",LA
16267995,10334,"PUA12 ",AA
16267996,103346,"PUD36 ",AA
16267997,10336,"PUA12 ",AA
16267998,103389,"PM48M ",OA
16267999,103452,"PM60  ",LE
16268000,103558,"PM48  ",GA
16268002,103659,"PU36H ",AA
16268003,103710,"PP60M ",AB
16268004,103734,"PP60M ",AB
16268005,103868,"PU36A ",IB
16268006,10391,PUQR01,AA
16268007,103942,"PU367 ",AD
16268008,103945,"PU367 ",AD
16268009,103993,"PU36A ",IB
16268010,1040,PU001T,AA
16268011,104005,"PU24A ",EA
16268012,104085,"PM60  ",LB
16268013,104126,"PU24A ",EA
16268014,104274,"PU36A ",IB
16268016,104277,"PU36C ",AA
16268017,104295,"PM48M ",OA
16268018,104297,"PM48M ",OA
16268019,1043,PU001T,AA
16268020,1043,"PU36M ",SA
16268021,10446,"PUC12 ",AA
16268022,10447,"PUC12 ",AA
16268023,104476,"PU36A ",IA
16268024,10459,"PM48  ",GA
16268025,104724,"PU36A ",IA
16268026,104739,"PM367 ",AA
16268027,104793,"PM48B ",HA
16268028,104885,"PU369 ",AD
16268029,104887,"PU369 ",AD
16268030,104906,"PM60  ",LB
16268031,105001,"PU369 ",AD
16268032,10502,"PU24A ",EA
16268033,105021,"PM48M ",OA
16268034,10507,"PM36A ",CG
16268035,105168,"PU368 ",AD
16268036,105244,"PM60  ",LE
16268037,105245,"PM48  ",GA
16268038,105272,"PM60  ",LB
