_CustomObjectKey,ID,HC_SITUACAO__C,HC_TITULO__C
28879397,a0o6g00000H9UqiAAF,Ativo,3189626
28879398,a0o6g00000H9uQLAAZ,Ativo,3208262
28879399,a0o6g00000H9uQQAAZ,Ativo,3208265
28879400,a0o6g00000H9uQRAAZ,Ativo,3208371
28879401,a0o6g00000H9UqTAAV,Ativo,3189623
28879402,a0o6g00000H9uQVAAZ,Ativo,3208266
28879403,a0o6g00000H9UqyAAF,Baixado Resgate Pago,3189660
28879404,a0o6g00000H9UqYAAV,Ativo,3189624
28879405,a0o6g000005WiWzAAK,Finalizado - Antecipado total,1755371
28879406,a0o6g000005WiwZAAS,Finalizado - Antecipado total,1752546
28879407,a0o6g000005WiX0AAK,Finalizado - Antecipado total,1755372
28879408,a0o6g000005WiX1AAK,Finalizado - Antecipado total,1755373
28879409,a0o6g000005WIX1AAO,Finalizado - Antecipado total,1807589
28879410,a0o6g000005WIX2AAO,Finalizado - Antecipado total,1807590
28879411,a0o6g000005WIX3AAO,Finalizado - Antecipado total,1807591
28879412,a0o6g000005WIX4AAO,Finalizado - Antecipado total,1807592
28879413,a0o6g000005Wix7AAC,Ativo,1752580
28879414,a0o6g000005Wix8AAC,Ativo,1752581
28879415,a0o6g000005Wix9AAC,Ativo,1752582
28879416,a0o6g000005WIXaAAO,Finalizado - Antecipado total,1713753
28879417,a0o6g000005WixAAAS,Finalizado - Fim de plano,1752583
28879418,a0o6g000005WIxAAAW,Finalizado - Antecipado total,1808210
28879419,a0o6g000005WIXbAAO,Finalizado - Antecipado total,1713754
28879420,a0o6g000005WIxBAAW,Finalizado - Antecipado total,1808211
28879421,a0o6g000005WIXcAAO,Finalizado - Antecipado total,1713755
28879422,a0o6g000005WIxCAAW,Finalizado - Antecipado total,1808212
28879423,a0o6g000005WiYaAAK,Finalizado - Antecipado total,1845018
28879424,a0o6g000005WiYbAAK,Finalizado - Antecipado total,1845019
28879425,a0o6g000005WiyBAAS,Finalizado - Antecipado total,1755657
28879426,a0o6g000005WiYcAAK,Finalizado - Antecipado total,1845020
28879427,a0o6g000005WiyCAAS,Finalizado - Cancelado,1755658
28879428,a0o6g000005WiYdAAK,Finalizado - Antecipado total,1845021
28879429,a0o6g000005WIYdAAO,Finalizado - Antecipado total,1713818
28879430,a0o6g000005WiyDAAS,Finalizado - Antecipado total,1755659
28879431,a0o6g000005WIYeAAO,Finalizado - Antecipado total,1713819
28879432,a0o6g000005WiyEAAS,Finalizado - Antecipado total,1755660
28879433,a0o6g000005WIYfAAO,Finalizado - Antecipado total,1713820
28879434,a0o6g000005WiyFAAS,Finalizado - Antecipado total,1755661
28879435,a0o6g000005WIyFAAW,Finalizado - Antecipado total,1808277
28879436,a0o6g000005WIYgAAO,Finalizado - Antecipado total,1713821
28879437,a0o6g000005WIyGAAW,Finalizado - Antecipado total,1808278
28879438,a0o6g000005WIyHAAW,Finalizado - Antecipado total,1808279
28879439,a0o6g000005WIyIAAW,Finalizado - Antecipado total,1808280
28879440,a0o6g000005WiYJAA0,Finalizado - Antecipado total,1845001
28879441,a0o6g000005WiyjAAC,Finalizado - Antecipado total,1755691
28879442,a0o6g000005WIZzAAO,Finalizado - Antecipado total,1713902
28879443,a0o6g000005WizZAAS,Finalizado - Antecipado total,1755743
28879444,a0o6g000005Wj04AAC,Finalizado - Antecipado total,1755774
28879445,a0o6g000005Wj05AAC,Finalizado - Antecipado total,1755775
28879446,a0o6g000005Wj06AAC,Finalizado - Antecipado total,1755776
28879447,a0o6g000005Wj07AAC,Finalizado - Antecipado total,1755777
28879448,a0o6g000005Wj08AAC,Finalizado - Antecipado total,1755778
28879449,a0o6g000005WJ08AAG,Finalizado - Antecipado total,1808394
28879450,a0o6g000005WJ09AAG,Finalizado - Antecipado total,1808395
28879451,a0o6g000005WJ0AAAW,Finalizado - Antecipado total,1808396
28879452,a0o6g000005WJ0BAAW,Finalizado - Antecipado total,1808397
28879453,a0o6g000005Wj0cAAC,Finalizado - Antecipado total,1755808
28879454,a0o6g000005Wj0dAAC,Finalizado - Antecipado total,1755809
28879455,a0o6g000005Wj0eAAC,Finalizado - Antecipado total,1755810
28879456,a0o6g000005Wj0fAAC,Finalizado - Antecipado total,1755811
28879457,a0o6g00000H9UQgAAN,Ativo,3186772
28879458,a0o6g00000H9UQkAAN,Ativo,3178097
28879459,a0o6g00000H9UQpAAN,Ativo,3176488
28879460,a0o6g00000H9UQRAA3,Ativo,3188850
28879461,a0o6g00000H9uQuAAJ,Ativo,3208277
28879462,a0o6g00000H9uQzAAJ,Ativo,3208280
28879463,a0o6g00000H9uR4AAJ,Em processo de finalização,3208281
28879464,a0o6g00000H9Ur7AAF,Ativo,3189637
28879465,a0o6g000005WiwzAAC,Finalizado - Fim de plano,1752572
28879466,a0o6g000005Wix0AAC,Ativo,1752573
28879467,a0o6g000005Wix1AAC,Ativo,1752574
28879468,a0o6g000005WIx2AAG,Ativo,1714732
28879469,a0o6g000005WIx3AAG,Ativo,1714733
28879470,a0o6g000005WIx4AAG,Ativo,1714734
28879471,a0o6g000005WIx5AAG,Ativo,1714735
28879472,a0o6g000005WiX6AAK,Finalizado - Cancelado,1755378
28879473,a0o6g000005WiX7AAK,Finalizado - Antecipado total,1755379
28879474,a0o6g000005WiX8AAK,Finalizado - Antecipado total,1755380
28879475,a0o6g000005WiX9AAK,Finalizado - Antecipado total,1755381
28879476,a0o6g000005WIX9AAO,Finalizado - Antecipado total,1807597
28879477,a0o6g000005WIXAAA4,Finalizado - Antecipado total,1807598
28879478,a0o6g000005WIxaAAG,Finalizado - Antecipado total,1808236
28879479,a0o6g000005WIXBAA4,Finalizado - Antecipado total,1807599
28879480,a0o6g000005WIxbAAG,Finalizado - Antecipado total,1808237
28879481,a0o6g000005WIXCAA4,Finalizado - Antecipado total,1807600
28879482,a0o6g000005WIxcAAG,Finalizado - Cancelado,1808238
28879483,a0o6g000005WiyaAAC,Finalizado - Antecipado total,1755682
28879484,a0o6g000005WIyAAAW,Finalizado - Antecipado total,1808272
28879485,a0o6g000005WiYBAA0,Finalizado - Antecipado total,1755445
28879486,a0o6g000005WiybAAC,Finalizado - Antecipado total,1755683
28879487,a0o6g000005WiYCAA0,Finalizado - Antecipado total,1755446
28879488,a0o6g000005WiycAAC,Finalizado - Antecipado total,1755684
28879489,a0o6g000005WiYDAA0,Finalizado - Antecipado total,1755447
28879490,a0o6g000005WiydAAC,Finalizado - Antecipado total,1755685
28879491,a0o6g000005WiYEAA0,Finalizado - Antecipado total,1755448
28879492,a0o6g000005WIYEAA4,Finalizado - Antecipado total,1713793
28879493,a0o6g000005WiyeAAC,Finalizado - Antecipado total,1755686
28879494,a0o6g000005WIyeAAG,Finalizado - Antecipado total,1808302
28879495,a0o6g000005WIYFAA4,Finalizado - Antecipado total,1713794
28879496,a0o6g000005WIyfAAG,Finalizado - Antecipado total,1808303
28879497,a0o6g000005WIYGAA4,Finalizado - Antecipado total,1713795
28879498,a0o6g000005WIygAAG,Finalizado - Antecipado total,1808304
28879499,a0o6g000005WIYHAA4,Finalizado - Antecipado total,1713796
28879500,a0o6g000005WIyhAAG,Finalizado - Antecipado total,1808305
28879501,a0o6g000005WiYiAAK,Finalizado - Antecipado total,1845026
28879502,a0o6g000005WiZZAA0,Finalizado - Antecipado total,1845079
28879503,a0o6g000005WizzAAC,Finalizado - Antecipado total,1755769
28879504,a0o6g000005WJ00AAG,Finalizado - Antecipado total,1808386
28879505,a0o6g000005WJ01AAG,Finalizado - Antecipado total,1808387
28879506,a0o6g000005WJ02AAG,Finalizado - Antecipado total,1808388
