_CustomObjectKey,ID_TITULO,ID_PLANO,ID_SERIE,STATUS
45650968,196934,"PU36N ",TB,Finalizado - Fim de plano
45650969,196937,"PU36N ",TB,Finalizado - Fim de plano
45650970,196938,"PU36N ",TB,Finalizado - Fim de plano
45650971,215800,"PU36M ",SB,Finalizado - Fim de plano
45650972,197086,"PU36N ",TB,Finalizado - Fim de plano
45650973,197087,"PU36N ",TB,Finalizado - Fim de plano
45650974,197090,"PU36N ",TB,Finalizado - Fim de plano
45650975,453249,"PU36N ",TA,Finalizado - Fim de plano
45650976,197095,"PU36N ",TB,Finalizado - Fim de plano
45650977,197097,"PU36N ",TB,Finalizado - Fim de plano
45650978,241181,"PM48M ",OH,Finalizado - Resgate Pago
45650979,16951,"PU36R ",TN,Finalizado - Fim de plano
45650980,453287,"PU36N ",TA,Finalizado - Fim de plano
45650981,83560,"PM60  ",LA,Finalizado - Resgate Pago
45650982,290486,"PM48M ",OE,Finalizado - Fim de plano
45650983,187790,"PM48M ",OF,Finalizado - Fim de plano
45650984,281887,"PM48  ",GD,Finalizado - Resgate Pago
45650985,290663,"PM48M ",OE,Finalizado - Fim de plano
45650986,256939,"PM48  ",GD,Finalizado - Resgate Pago
45650987,35738,"PU36A ",IB,Finalizado - Fim de plano
45650988,367049,"PM48M ",OG,Finalizado - Resgate Pago
45650989,92788,"PM48M ",OK,Finalizado - Resgate Pago
45650990,216144,"PU36M ",SB,Finalizado - Fim de plano
45650991,197765,"PU36N ",TB,Finalizado - Fim de plano
45650992,197766,"PU36N ",TB,Finalizado - Fim de plano
45650993,197769,"PU36N ",TB,Finalizado - Fim de plano
45650994,197770,"PU36N ",TB,Finalizado - Fim de plano
45650995,197771,"PU36N ",TB,Finalizado - Fim de plano
45650996,198044,"PU36N ",TB,Finalizado - Fim de plano
45650997,290617,"PM48M ",OE,Finalizado - Fim de plano
45650998,290618,"PM48M ",OE,Finalizado - Fim de plano
45650999,214304,"PM48M ",OI,Finalizado - Resgate Pago
45651000,266421,"PM48  ",GD,Finalizado - Resgate Pago
45651001,215835,"PU36M ",SB,Finalizado - Fim de plano
45651002,215841,"PU36M ",SB,Finalizado - Fim de plano
45651003,197595,"PU36N ",TB,Finalizado - Fim de plano
45651004,197362,"PU36N ",TB,Finalizado - Fim de plano
45651005,197625,"PU36N ",TB,Finalizado - Fim de plano
45651006,198326,"PU36N ",TB,Finalizado - Fim de plano
45651007,198327,"PU36N ",TB,Finalizado - Fim de plano
45651008,198328,"PU36N ",TB,Finalizado - Fim de plano
45651009,198329,"PU36N ",TB,Finalizado - Fim de plano
45651010,198330,"PU36N ",TB,Finalizado - Fim de plano
45651011,198331,"PU36N ",TB,Finalizado - Fim de plano
45651012,341291,"PU36A ",IA,Finalizado - Resgate Pago
45651013,215754,"PU36M ",SB,Finalizado - Fim de plano
45651014,197256,"PU36N ",TB,Finalizado - Fim de plano
45651015,215789,"PU36M ",SB,Finalizado - Fim de plano
45651016,215865,"PU36M ",SB,Finalizado - Fim de plano
45651017,197388,"PU36N ",TB,Finalizado - Fim de plano
45651018,361262,"PU36M ",SA,Finalizado - Fim de plano
45651019,361276,"PU36M ",SA,Finalizado - Fim de plano
45651020,2991,"PU36M ",SF,Finalizado - Resgate Pago
45651021,2992,"PU36M ",SF,Finalizado - Resgate Pago
45651022,2993,"PU36M ",SF,Finalizado - Resgate Pago
45651023,2994,"PU36M ",SF,Finalizado - Resgate Pago
45651024,161770,"PM48M ",OJ,Finalizado - Resgate Pago
45651025,36148,"PM60  ",LE,Finalizado - Fim de plano
45651026,55658,"PM48M ",OL,Finalizado - Resgate Pago
45651027,245903,"PM06H ",RA,Finalizado - Resgate Pago
45651028,245904,"PM06H ",RA,Finalizado - Resgate Pago
45651029,51861,"PU36R ",TM,Finalizado - Fim de plano
45651030,258870,"PM48M ",OI,Finalizado - Resgate Pago
45651031,287347,"PM48M ",OH,Finalizado - Resgate Pago
45651032,373651,"PM48M ",OD,Finalizado - Fim de plano
45651033,19537,"PM48  ",GD,Finalizado - Resgate Pago
45651034,187555,"PM48M ",OF,Finalizado - Fim de plano
45651035,373675,"PM48M ",OD,Finalizado - Fim de plano
45651036,358293,"PP60  ",WA,Finalizado - Fim de plano
45651037,2947,"PU36M ",SF,Finalizado - Resgate Pago
45651038,35070,"PU36M ",SD,Finalizado - Resgate Pago
45651039,35071,"PU36M ",SD,Finalizado - Resgate Pago
45651040,252930,"PM48M ",OI,Finalizado - Resgate Pago
45651041,413321,"PM48M ",OF,Finalizado - Resgate Pago
45651042,225181,"PU36N ",TB,Finalizado - Fim de plano
45651043,61772,"PM48M ",OL,Finalizado - Resgate Pago
45651044,230706,"PU36N ",TB,Finalizado - Resgate Pago
45651045,39855,"PU36E ",AA,Finalizado - Resgate Pago
45651046,400956,"PM48M ",OF,Finalizado - Resgate Pago
45651047,292495,"PM48M ",OH,Finalizado - Resgate Pago
45651048,358627,"PP60  ",WA,Finalizado - Fim de plano
45651049,243656,"PM06H ",RA,Finalizado - Resgate Pago
45651050,38511,"PM06X ",UA,Finalizado - Fim de plano
45651051,223833,"PM48M ",OI,Finalizado - Resgate Pago
45651052,231234,"PM06H ",RA,Finalizado - Fim de plano
45651053,275334,"PU36A ",IA,Finalizado - Resgate Pago
45651054,278016,"PM48M ",OB,Finalizado - Fim de plano
45651055,38542,"PM06X ",UA,Finalizado - Fim de plano
45651056,38544,"PM06X ",UA,Finalizado - Fim de plano
45651057,65138,"PM48M ",OL,Finalizado - Resgate Pago
45651058,251166,"PM48M ",OI,Finalizado - Resgate Pago
45651059,28850,"PU36E ",AA,Finalizado - Resgate Pago
45651060,255232,"PM06H ",RA,Finalizado - Resgate Pago
45651061,42403,"PM36A ",CL,Finalizado - Resgate Pago
45651062,188371,"PM48M ",OF,Finalizado - Fim de plano
45651063,291234,"PM48M ",OE,Finalizado - Fim de plano
45651064,34896,"PM48M ",OM,Finalizado - Resgate Pago
45651065,33273,"PM36A ",CM,Finalizado - Resgate Pago
45651066,106866,"PU36M ",SC,Finalizado - Resgate Pago
45651067,106868,"PU36M ",SC,Finalizado - Resgate Pago
45651068,106869,"PU36M ",SC,Finalizado - Resgate Pago
45651069,106863,"PU36M ",SC,Finalizado - Resgate Pago
45651070,200927,"PU36M ",SA,Finalizado - Fim de plano
45651071,230761,"PU36M ",SB,Finalizado - Resgate Pago
45651072,243938,"PM48M ",OI,Finalizado - Resgate Pago
45651073,304702,"PM48M ",OH,Finalizado - Resgate Pago
45651074,25633,"PM36A ",CN,Finalizado - Resgate Pago
45651075,290677,"PM48M ",OE,Finalizado - Fim de plano
45651076,290678,"PM48M ",OE,Finalizado - Fim de plano
45651077,187907,"PM48M ",OF,Finalizado - Fim de plano
45651078,18504,"PM48  ",GD,Finalizado - Resgate Pago
45651079,290604,"PM48M ",OE,Finalizado - Fim de plano
45651080,93449,"PM48M ",OG,Finalizado - Fim de plano
45651081,290729,"PM48M ",OE,Finalizado - Fim de plano
45651082,290731,"PM48M ",OE,Finalizado - Fim de plano
45651083,106865,"PU36M ",SC,Finalizado - Resgate Pago
45651084,370127,"PU36M ",SA,Finalizado - Fim de plano
