_CustomObjectKey,ID,HC_SITUACAO__C
2,a0o6g000005aOyyAAE,Finalizado - Fim de plano
3,a0o6g000005YQSiAAO,Ativo
4,a0o6g000005YQtkAAG,Finalizado - Fim de plano
5,a0o6g000005ZVWfAAO,Finalizado - Fim de plano
6,a0o6g000005a8GyAAI,Finalizado - Fim de plano
7,a0o6g000005Zw9OAAS,Ativo
8,a0o6g000005a8IeAAI,Finalizado - Fim de plano
9,a0o6g000005ZW0MAAW,Finalizado - Fim de plano
10,a0o6g000005a8GNAAY,Finalizado - Fim de plano
11,a0o6g000005a8fAAAQ,Finalizado - Fim de plano
12,a0o6g000005a8JQAAY,Finalizado - Fim de plano
13,a0o6g000005a8HVAAY,Finalizado - Fim de plano
14,a0o6g000005a8iMAAQ,Finalizado - Fim de plano
15,a0o6g000005a8HvAAI,Finalizado - Fim de plano
16,a0o6g000005a8iLAAQ,Finalizado - Fim de plano
17,a0o6g000005a41yAAA,Finalizado - Fim de plano
18,a0o6g000005a3MEAAY,Finalizado - Fim de plano
19,a0o6g000005a3PCAAY,Finalizado - Fim de plano
20,a0o6g000005a3X0AAI,Finalizado - Fim de plano
21,a0o6g000005a3SDAAY,Ativo
22,a0o6g000005a3S9AAI,Ativo
23,a0o6g000005a3WTAAY,Finalizado - Fim de plano
24,a0o6g000005a9wJAAQ,Finalizado - Fim de plano
25,a0o6g000005a3ZQAAY,Finalizado - Fim de plano
26,a0o6g000005a3ZrAAI,Finalizado - Fim de plano
27,a0o6g000005a5deAAA,Finalizado - Fim de plano
28,a0o6g000005a9M0AAI,Finalizado - Fim de plano
29,a0o6g000005a9DCAAY,Finalizado - Fim de plano
30,a0o6g000005a5GVAAY,Finalizado - Fim de plano
31,a0o6g000005a41KAAQ,Finalizado - Fim de plano
32,a0o6g000005aaPcAAI,Ativo
33,a0o6g000004s3cnAAA,Finalizado - Fim de plano
34,a0o6g000004rydGAAQ,Finalizado - Fim de plano
35,a0o6g000004rYdKAAU,Finalizado - Fim de plano
36,a0o6g000004rybhAAA,Finalizado - Fim de plano
37,a0o6g000004ry7YAAQ,Ativo
38,a0o6g000004rYAPAA2,Finalizado - Fim de plano
39,a0o6g000004rYCzAAM,Finalizado - Fim de plano
40,a0o6g000004s3DiAAI,Finalizado - Fim de plano
41,a0o6g000004ryblAAA,Finalizado - Fim de plano
42,a0o6g000004rYFWAA2,Finalizado - Fim de plano
43,a0o6g000004rYFtAAM,Finalizado - Fim de plano
44,a0o6g000004rYENAA2,Finalizado - Fim de plano
45,a0o6g000004s3fdAAA,Finalizado - Fim de plano
46,a0o6g000004ryfxAAA,Finalizado - Fim de plano
47,a0o6g000004ryEAAAY,Finalizado - Fim de plano
48,a0o6g000004rYEdAAM,Finalizado - Fim de plano
49,a0o6g000004ryGuAAI,Finalizado - Fim de plano
50,a0o6g000004rYGzAAM,Finalizado - Fim de plano
51,a0o6g000004s3ILAAY,Finalizado - Fim de plano
52,a0o6g000004s3FKAAY,Finalizado - Fim de plano
53,a0o6g000004s3hhAAA,Finalizado - Fim de plano
54,a0o6g000004s3hjAAA,Finalizado - Fim de plano
55,a0o6g000005aQxZAAU,Finalizado - Fim de plano
56,a0o6g000004rYEiAAM,Finalizado - Fim de plano
57,a0o6g000004ryeIAAQ,Finalizado - Fim de plano
58,a0o6g000005aSiaAAE,Ativo
59,a0o6g000005aSKwAAM,Finalizado - Fim de plano
60,a0o6g000005aSKyAAM,Finalizado - Fim de plano
61,a0o6g000004s5fRAAQ,Finalizado - Fim de plano
62,a0o6g000004s5FWAAY,Finalizado - Fim de plano
63,a0o6g000004pStpAAE,Finalizado - Fim de plano
64,a0o6g000004pSTVAA2,Ativo
65,a0o6g000004pstyAAA,Finalizado - Fim de plano
66,a0o6g000004psv1AAA,Finalizado - Fim de plano
67,a0o6g000005YmmiAAC,Finalizado - Fim de plano
68,a0o6g000005YLhGAAW,Finalizado - Fim de plano
