_CustomObjectKey,id_titulo,id_titular,id_subscritor,id_cliente,num_titulo,serie,plano,origem,id_titulo_darwin
3472360,a0o6g00000B5vslAAB,a0i6g00000AENGZAA5,a0i6g00000AENGZAA5,0016g00002RJpuOAAT,283066,AB,A60PM,CAP,283066
3472361,a0o6g00000Ewr7xAAB,a0i6g00000AFORFAA5,a0i6g00000AFORFAA5,0016g00002RJukkAAD,31896,AA,PU001D,CAP,31896
3472362,a0o6g00000Ewr7yAAB,a0i6g00000AFORFAA5,a0i6g00000AFORFAA5,0016g00002RJukkAAD,31897,AA,PU001D,CAP,31897
3472363,a0o6g00000EwrQ6AAJ,a0i6g00000AFORFAA5,a0i6g00000AFORFAA5,0016g00002RJukkAAD,31895,AA,PU001D,CAP,31895
3472364,a0o6g00000EwrW7AAJ,a0i6g00000AFORFAA5,a0i6g00000AFORFAA5,0016g00002RJukkAAD,31898,AA,PU001D,CAP,31898
3472365,a0o6g00000FJJTiAAP,a0i6g00000ANKxZAAX,a0i6g00000ANKxZAAX,0016g00002RJtwCAAT,136394,AA,PUA48,CAP,136394
3472366,a0o6g00000FJLqHAAX,a0i6g00000ANKxZAAX,a0i6g00000ANKxZAAX,0016g00002RJtwCAAT,69249,AC,A60PM,CAP,69249
3472367,a0o6g00000C98SoAAJ,a0i6g00000AUiKjAAL,a0i6g00000AUiKjAAL,0016g00002RJpeIAAT,527795,AA,A48PM,CAP,527795
3472368,a0o6g00000CAjnrAAD,a0i6g00000AZTrpAAH,a0i6g00000AZTrpAAH,0016g00002RJyHFAA1,109570,AA,PUD36,CAP,109570
3472369,a0o6g00000CAlXnAAL,a0i6g00000AWbUJAA1,a0i6g00000AWbUJAA1,0016g00002RJn9xAAD,342109,AA,A48PU,CAP,342109
3472370,a0o6g00000H9Fj9AAF,a0i6g00000Aha6XAAR,a0i6g00000Aha6XAAR,0016g00002RJyysAAD,274010,AB,A60PM,CAP,274010
3472371,a0o6g00000H9FjAAAV,a0i6g00000Aha6YAAR,a0i6g00000Aha6YAAR,0016g00002RJo6oAAD,308069,AA,A48PU,CAP,308069
3472372,a0o6g00000H9FjBAAV,a0i6g00000Aha6ZAAR,a0i6g00000Aha6ZAAR,0016g00002RJmQGAA1,277354,AB,A60PM,CAP,277354
3472373,a0o6g00000H9GJjAAN,a0i6g00000AhYlFAAV,a0i6g00000AhYlFAAV,0016g00002RK0a5AAD,280178,AB,A60PM,CAP,280178
